,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2339.5910290714796,489.10911102449074,432.87321762813474,419.7981121465375,419.7981121465375,419.7981121465375,414.5614235889889,241.89068657470924,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,93.00132653015598,25.30744576257822,21.785194069701202,20.936907718437652,20.936907718437652,20.936907718437652,20.67624235220492,16.370429967191164,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1639.6194775269557,473.2058092529972,410.83047628350727,399.0826882343296,399.0826882343296,399.0826882343296,395.4692461540429,314.5663435343209,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,62.05600594310177,20.860947756751848,17.852793023282242,17.321329476859113,17.321329476859113,17.321329476859113,17.171754300006977,15.376612707075322,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.9889298671876,22.499350107581154,19.614523323713588,18.993908489946442,18.982986679034745,18.982986679034745,18.841611599928164,17.579089551114222,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1507.7581407732698,540.0044550620546,458.98071579591004,446.45033519656295,446.45033519656295,445.9995235806054,441.9781196183868,389.15981020774467,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9558.99601393425,4174.338764374357,3616.3796570202285,3540.3775535602845,3540.3775535602845,3540.3775535602845,3508.086986256399,3344.82304825706,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,14106.311859737383,5470.656901772635,4699.543986932982,4631.9981108286975,4624.475533324426,4624.475533324426,4584.380886569982,4161.1685368076905,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,841.5372291124277,348.49341395236934,301.59692508505276,296.3992006674111,296.3992006674111,296.3992006674111,293.02363293347184,268.2179426256143,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,31.007012466551814,14.101335898388188,11.958373293707393,11.639507180567156,11.634521425350028,11.634521425350028,11.569764746678633,10.931976965209161,40.0,0.2,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.554458185086705,5.706772061309783,4.872527674636193,4.7218884720677465,4.7218884720677465,4.7218884720677465,4.656528010538075,4.3950835880690775,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,347.16620312145193,143.94541769804997,123.00889645691754,119.75563746337869,119.75563746337869,119.75563746337869,118.64164300267377,109.72868211950055,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,219.84570880685405,93.01297224173186,79.83551359935203,77.81152348054401,77.77597765696552,77.77597765696552,77.31451919826729,70.60071423583712,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,158.65961189588973,70.9820168392799,61.42805761996113,59.66714832324165,59.64806002664815,59.64806002664815,59.11183577157115,52.98505796725285,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.87811093199996,2.840032284980157,2.433029374020085,2.3700215885116735,2.3692617545340737,2.3692617545340737,2.3479928346459733,2.068471689456598,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,119.29774071334235,53.639253721770906,45.699232241107474,44.42558385656347,44.413244194369454,44.413244194369454,43.98059702509898,38.7135512768084,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.407458060915778,2.1791154672627777,1.854020243809243,1.803385429381092,1.803385429381092,1.803385429381092,1.778845387218901,1.5376509480577476,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.476253525599774,1.7432334915641132,1.4959326435770237,1.4598535867482414,1.4595537559928344,1.4595537559928344,1.4442878982771603,1.222264956113942,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,92.11696225070527,43.10654742851133,36.8503192319799,35.979048766173925,35.96448881615005,35.96448881615005,35.62043819831307,30.904134184056712,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.752362389340876,1.3854106688286754,1.1823904975460449,1.1520366344807027,1.15163671981002,1.15163671981002,1.1382588018493274,0.9477927308779224,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,73.16500088706307,34.16035596048594,29.307449725142884,28.512142920747635,28.504039432011957,28.504039432011957,28.23165945439004,24.187194491688,100.0,0.1,10.0
