,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2578,717,616,600,600,600,597,457,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1923,375,330,321,321,321,317,153,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4767,1208,1021,998,998,998,989,737,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4533,1464,1264,1226,1226,1226,1218,1007,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5477,1863,1609,1565,1565,1565,1552,1348,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4718,1368,1173,1143,1142,1142,1128,870,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6850,2510,2157,2103,2101,2101,2081,1834,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6323,1908,1677,1644,1643,1643,1628,1272,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6788,2560,2192,2131,2131,2131,2103,1846,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7597,2416,2070,2009,2009,2009,1995,1619,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8853,2846,2449,2398,2394,2394,2374,1925,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,651,258,219,213,213,213,213,194,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9197,2949,2522,2440,2440,2440,2420,1959,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,12044,4564,3908,3780,3778,3778,3744,3016,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10969,3557,2989,2908,2907,2907,2880,2319,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12401,4015,3466,3386,3384,3384,3358,2596,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28531,10641,9126,8878,8870,8870,8778,6636,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36636,12313,10560,10296,10291,10291,10190,7896,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16519,6164,5278,5131,5126,5126,5069,3687,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4423,1460,1230,1198,1198,1198,1184,892,100.0,0.1,1.0
