,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,3.4099757681975826,28.01857660572128,0.6442111815137563
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2704.6748402079593,28.01857660572128,510.9660281667848
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,241.89068657470924,28.01857660572128,45.69788631601738
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,289.44458350207077,28.01857660572128,54.68174843341642
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,16.370429967191164,28.01857660572128,3.092694713378198
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.2645085466893418,28.01857660572128,0.04997084289349534
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.2897385821759878,28.01857660572128,0.05473729053868706
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,5.704938341336528,28.01857660572128,1.077774541277205
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,209.48888921934585,28.01857660572128,39.576552448445305
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,15.376612707075322,28.01857660572128,2.9049431764555775
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,314.5663435343209,28.01857660572128,59.427740725506865
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,3463.54926983526,28.01857660572128,654.3322648099229
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3336.500619527422,28.01857660572128,630.3302874680716
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,181.9993647241586,28.01857660572128,34.38324309432739
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,389.15981020774467,28.01857660572128,73.51990693591173
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,17.579089551114222,28.01857660572128,3.3210341713499365
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.4045208638707115,28.01857660572128,0.07642191070432756
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,9.286298003438807,28.01857660572128,1.7543634956227991
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1395.802197084453,28.01857660572128,263.6943613879578
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,100.91737859956837,28.01857660572128,19.06526853041615
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,10381.436197057912,28.01857660572128,1961.256540497752
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,4161.1685368076905,28.01857660572128,786.1262020028015
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,4095.284814513838,28.01857660572128,773.6794770209752
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,3344.82304825706,28.01857660572128,631.9025571876942
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.3060075249684286,28.01857660572128,0.057810812337886756
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,110.46699674290782,28.01857660572128,20.86937835562399
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,2127.8974746944136,28.01857660572128,402.00149194538153
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,7.111410116832795,28.01857660572128,1.3434845949111407
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,10.931976965209161,28.01857660572128,2.0652644698296583
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,268.2179426256143,28.01857660572128,50.67162040666562
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.12971506835836308,28.01857660572128,0.02450571591347357
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,3.2657378376015314,28.01857660572128,0.6169618126018195
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,4.3950835880690775,28.01857660572128,0.8303173346648965
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,50.14817601098398,28.01857660572128,9.473972225870641
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,915.9644443422632,28.01857660572128,173.04361585719346
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,109.72868211950055,28.01857660572128,20.72989626888603
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,584.1712964375499,28.01857660572128,110.36139452784855
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,2.2106363598398997,28.01857660572128,0.4176324871723295
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,70.60071423583712,28.01857660572128,13.337857106716067
63,60.0,0.2,10.0,0.0,28.01857660572128,0.0
62,60.0,0.2,1.0,0.0,28.01857660572128,0.0
64,60.0,0.2,100.0,0.0,28.01857660572128,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,2.068471689456598,28.01857660572128,0.390774797703894
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,18.815769431565663,28.01857660572128,3.5546672119040688
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,1.5369535361796052,28.01857660572128,0.2903606127375387
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,417.8412563197107,28.01857660572128,78.93839361831978
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,52.98505796725285,28.01857660572128,10.009914766550049
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.06296264809276715,28.01857660572128,0.011894876877824829
