,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,92.15493613819022,86.94041266667067,31.82772494284834,31.82772494284834,30.718503350064626,30.718503350064626,30.262967529447064,28.69837409090398,27.068019901941778,21.004185236295008,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2317.3820536823337,2204.9081494636325,647.3639413670764,647.3639413670764,621.2276113075872,621.2276113075872,609.4618397131957,555.8263807007909,512.6768269072512,313.82314705303156,5.0,0.1,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1625.6104954696475,1547.8795494526546,589.3782833958303,588.4776568708254,566.7931054910865,566.7931054910865,561.8271486003142,532.44787452596,500.78322957403344,398.63515507445663,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,61.54058434688426,57.88493071203698,24.984849781871212,24.95143208585894,24.12030015857674,24.12030015857674,23.754830583381445,23.039481864024985,22.307962662326155,18.733030173757047,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1502.3912395989835,1442.3979329407302,649.7048108951061,648.3596504614758,625.0807166180097,625.0807166180097,617.0285462530198,596.8687869386704,574.9393916485175,488.9937365570818,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.60812873029157,51.72359943999387,25.785728523328302,25.742201500912717,24.817071070938738,24.806206481995744,24.534181665966013,23.718004217911428,22.945451070017523,20.12708399823558,20.0,0.2,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9505.83416611545,9006.648750014101,4758.817760773099,4758.817760773099,4614.481359110482,4614.481359110482,4548.035537295052,4426.554529842406,4306.980501472233,3819.3241868575224,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13998.620121487435,13355.084054583238,6457.512505034953,6445.023143887154,6262.254846457482,6262.254846457482,6174.595785932262,5999.218873485583,5768.950938446464,5042.61100048997,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,834.9128920899427,794.2645368319992,405.13540121052307,405.0052781364882,393.31640421070927,393.31640421070927,388.1214551352376,376.4263655993904,363.4314619040936,319.14301411162904,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.807781222962145,29.41724776219743,16.12371790332433,16.103752918776447,15.620400810829711,15.620400810829711,15.431151413523418,14.987622040237879,14.49422090298852,12.586415661442011,40.0,0.2,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.479070052884262,11.860904681898306,6.661378896990269,6.661378896990269,6.415277155881553,6.415277155881553,6.289781071248902,6.14400962495432,5.9076804958377815,4.962869974572316,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,344.5802382282911,328.85188100333426,165.15572961747145,165.06653404255158,159.36392278318996,159.36392278318996,157.18247136635622,152.37015099777804,147.46813245551306,126.56787685665743,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,218.2838774190764,207.9126200932078,107.25900444658946,107.08149941584324,103.63600548189144,103.63600548189144,102.6779769097624,99.3750724280772,95.6448337584381,81.75684379427099,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,157.41497850924654,149.96667261995097,81.05322350483866,80.97679068435289,77.97138337898025,77.97138337898025,77.05245350951435,74.84998898980106,71.05858503775568,59.474517388553146,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.843154893896254,5.497752559593213,3.227298439463309,3.225781344101988,3.1020355359125675,3.1020355359125675,3.0580048566601827,2.9745214289616873,2.6889322698404374,2.202123821644182,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,118.79073373664063,113.13928109377717,61.815576649204594,61.8032396689628,59.68817704850239,59.68817704850239,59.069976332491024,57.40046107151043,53.75327423872726,43.95774411017719,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.388476448584873,4.1669987321911215,2.478879298523149,2.477296398675788,2.393441864707105,2.393441864707105,2.360993316870576,2.289004438301926,2.0082789584304748,1.5803778561678068,80.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,91.59222330266915,87.17861877124727,49.236855317433246,49.196042134454814,47.63078674480806,47.62787264665609,47.071127080737845,45.838136846202616,42.0893946108692,33.95008924405881,90.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.457686065143628,3.261290306438468,1.972737400043694,1.970640789393754,1.90807080346962,1.90807080346962,1.8815704259260937,1.8303702301128446,1.5688127761492627,1.2146043118081262,90.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,72.71480980766736,69.30697449404796,39.26702821466136,39.245485039213015,37.959558398932856,37.959558398932856,37.42304430888298,36.36587465285883,32.955101633496476,26.193428835628197,100.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.737596545115538,2.584078602617429,1.593223463091599,1.5916238044088682,1.5419056808514309,1.5419056808514309,1.5183464239041713,1.4797977604629171,1.2572153977624385,0.9402137399456088,100.0,0.2,10.0
