,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018130384357196879,0.00012969207708719204,0.00012969207708719204,0.00012423496286945973,0.00012423496286945973,0.00011946104501546849,6.823492316748462e-07,6.823492316748462e-07,6.823492316748462e-07,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019586069741226865,0.0001942765480491029,0.0001942765480491029,0.0001942765480491029,0.0001942765480491029,0.0001908847784384609,0.0,0.0,0.0,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024400462509508495,0.0004561938361564732,0.0004561938361564732,0.0004370755887616371,0.0004370755887616371,0.0004343455661737621,1.3645347506437203e-06,1.3645347506437203e-06,0.0,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022842914550260133,0.0003096023334088196,0.0003096023334088196,0.00029777118120400905,0.0002970782889835673,0.0002949926597997319,1.3925074882921868e-06,1.3925074882921868e-06,1.3925074882921868e-06,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.0038819864239690856,0.0009572644477969039,0.0009556033720420007,0.0009258039167840674,0.0009258039167840674,0.0009092249383553558,1.160168140723798e-05,1.160168140723798e-05,1.160168140723798e-05,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003372586587620071,0.0007094901841115802,0.0007081861196394198,0.0006847466474319829,0.0006847466474319829,0.0006756649881369024,3.893182634449253e-06,3.893182634449253e-06,2.592299358896304e-06,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005511991762719819,0.0014386075918154616,0.0014386075918154616,0.0013950214302696686,0.0013950214302696686,0.0013796308745387684,2.5653246340969307e-05,2.5653246340969307e-05,2.5653246340969307e-05,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.00469163139070011,0.001107159968319528,0.0011062461097653218,0.001084441997319403,0.001084441997319403,0.0010662731865692444,8.168426553067994e-06,8.168426553067994e-06,7.254605778179052e-06,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006562565823287944,0.0016569943456667036,0.0016569943456667036,0.0015960422910376972,0.0015960422910376972,0.0015732068560273442,2.285358058453591e-05,2.285358058453591e-05,2.285358058453591e-05,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007600666077795009,0.002169810752173113,0.002168109840969187,0.002107023929506872,0.002107023929506872,0.0020646372662846413,5.602256021200154e-05,5.602256021200154e-05,5.431325852415509e-05,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010142894766676572,0.003137935564665828,0.003137935564665828,0.003035158398164259,0.003035158398164259,0.003022284428839446,0.00011874146566353217,0.00011874146566353217,0.00010908924904313588,50.0,0.2,100.0
