,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2317.3820536823337,541.4168263070637,541.4168263070637,519.1937935620464,519.1937935620464,507.43019821103235,0.0,0.0,0.0,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,92.15493613819022,28.177279072297157,28.177279072297157,27.329938992611073,27.329938992611073,27.069224092306595,0.13073115750116052,0.13073115750116052,0.0,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1625.6104954696475,530.1622965125723,529.711403269787,512.5389327822945,512.5389327822945,506.2172305530994,1.3564814796914242,1.3564814796914242,0.9046803185530704,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,61.54058434688426,23.471934061393394,23.438514591523912,22.673999871829206,22.673999871829206,22.34159676891826,0.049952328374083324,0.049952328374083324,0.049952328374083324,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1502.3912395989835,605.4024157573975,604.0572553237672,583.0173592417923,582.5666149815222,573.6136296528664,0.44630454039071843,0.44630454039071843,0.44630454039071843,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.60812873029157,24.6539992368284,24.61047221441282,23.81577407395779,23.804911392421563,23.434952683363537,0.08711172898424305,0.08711172898424305,0.08711172898424305,20.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13998.620121487435,6114.322628759851,6101.831634517713,5946.612549874851,5944.126980289318,5851.443432844595,10.072904625079824,10.072904625079824,10.072904625079824,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9505.83416611545,4599.403825150193,4599.403825150193,4462.651125584709,4462.651125584709,4392.395670909712,13.290794237274275,13.290794237274275,13.290794237274275,30.0,0.2,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.807781222962145,15.570628529413629,15.555646716120595,15.102187175797258,15.102187175797258,14.907891300160285,0.13451933004603028,0.13451933004603028,0.12455220023532429,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,834.9128920899427,386.5587351248054,386.4286409605848,376.16611945132064,376.16611945132064,369.933597141654,0.909753176946643,0.5189952533548078,0.5189952533548078,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.479070052884262,6.465446425449114,6.465446425449114,6.244455855532362,6.244455855532362,6.113851383506984,0.02511157173392597,0.02511157173392597,0.020036129420776146,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,344.5802382282911,157.67029058830323,157.53658361008644,152.14512810609338,152.14512810609338,149.69624702661463,0.26741355764301755,0.26741355764301755,0.22307228451956596,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,218.2838774190764,103.10373548496906,102.96162922061161,99.69362631195938,99.69362631195938,98.55781960287459,0.5321030257381879,0.5321030257381879,0.5321030257381879,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.843154893896254,3.1202403127350147,3.119480295000709,3.006358564501474,3.006358564501474,2.960035336590193,0.02351331854773596,0.02123635188323378,0.01895725766062473,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,157.41497850924654,77.7603689095875,77.70308012957348,74.85093663573124,74.85093663573124,73.81719826731315,0.17242337443253844,0.17242337443253844,0.1531927940783877,70.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.388476448584873,2.4203779333579245,2.419587582254029,2.338891855490524,2.338891855490524,2.2953524200954445,0.018189314880032302,0.015026204484302492,0.013445224449919056,80.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,118.79073373664063,59.4288966350557,59.41655965481392,57.43762220156046,57.43762220156046,56.52292630300785,0.2226400011836196,0.2102347778293225,0.17313015735080872,80.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.457686065143628,1.9209343932369063,1.9189876979646696,1.8565674699441028,1.8565674699441028,1.827818519209162,0.016318343486854743,0.014673634397264707,0.012428017536704765,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,91.59222330266915,47.549223614254146,47.51131925981078,46.013177711147016,46.010258343378126,45.292973898255525,0.21861151906278417,0.21277342164267818,0.18654785567910337,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.737596545115538,1.5512869714253257,1.5494900390307627,1.5013586489489512,1.5013586489489512,1.4754098717220576,0.010787125917876434,0.009786678604259937,0.00798844547381241,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,72.71480980766736,37.800436486391675,37.778870419729756,36.53604539115533,36.53336457569812,35.85672064997516,0.14566948948895075,0.13218264019755097,0.11331293792914375,100.0,0.1,10.0
