,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,313.82314705303156,34.5648639628083,53.378645257667955
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,425.6844216924113,34.5648639628083,72.40529562784288
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,5.339857448913086,34.5648639628083,0.9082642856929884
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,5126.963032647771,34.5648639628083,872.0527581817811
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,21.004185236295008,34.5648639628083,3.5726330679651093
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.26444128026186287,34.5648639628083,0.044979210179790244
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.34312328112179963,34.5648639628083,0.058362348585945995
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,398.63515507445663,34.5648639628083,67.80444568787368
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,18.733030173757047,34.5648639628083,3.186328929641354
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,7.4204887397427965,34.5648639628083,1.2621619526692078
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,5503.072329332951,34.5648639628083,936.0257471546965
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,311.03559220870824,34.5648639628083,52.90450591336304
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,5377.291800124523,34.5648639628083,914.6315500982129
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,11.154479699590702,34.5648639628083,1.8972820217678044
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,263.96078417403504,34.5648639628083,44.89748188644825
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,20.12708399823558,34.5648639628083,3.4234456154744746
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.46958124017365477,34.5648639628083,0.0798717706908011
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,488.9937365570818,34.5648639628083,83.17367103737308
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,114.86903393763166,34.5648639628083,19.538244617156035
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1634.9887631044953,34.5648639628083,278.0976674460543
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,3819.3241868575224,34.5648639628083,649.6345244407598
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,6126.88996310514,34.5648639628083,1042.131815146477
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,14146.200811055063,34.5648639628083,2406.148309733957
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,5042.61100048997,34.5648639628083,857.7051957295004
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,12.586415661442011,34.5648639628083,2.140842136619505
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,319.14301411162904,34.5648639628083,54.283509348177
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,3121.6015060331383,34.5648639628083,530.9578372120122
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,145.35356236866582,34.5648639628083,24.723403341896276
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,8.284102715633235,34.5648639628083,1.4090553367025722
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.33953282634494003,34.5648639628083,0.05775164279943082
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,59.45004919282199,34.5648639628083,10.111947178575397
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.14803010714367118,34.5648639628083,0.025178660818608575
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,4.962869974572316,34.5648639628083,0.8441419261781256
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,3.757637662731897,34.5648639628083,0.6391421719186435
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,126.56787685665743,34.5648639628083,21.528118187553734
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,1277.1692023848314,34.5648639628083,217.23560683239944
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,777.7469665353659,34.5648639628083,132.2881368591438
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,81.75684379427099,34.5648639628083,13.906143008448955
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,2.5244585497058987,34.5648639628083,0.42938890473132285
63,60.0,0.2,10.0,0.0,34.5648639628083,0.0
62,60.0,0.2,1.0,0.0,34.5648639628083,0.0
64,60.0,0.2,100.0,0.0,34.5648639628083,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,2.202123821644182,34.5648639628083,0.3745625120161745
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,1.7976235101550333,34.5648639628083,0.30576045316120176
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.0676716751657517,34.5648639628083,0.01151037575330409
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,59.474517388553146,34.5648639628083,10.116109010334121
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,552.6471287102452,34.5648639628083,94.00057106402015
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,20.612591997085065,34.5648639628083,3.5060263922071977
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,393.0013162641566,34.5648639628083,66.84617767572139
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,1.5803778561678068,34.5648639628083,0.2688088171622337
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,43.95774411017719,34.5648639628083,7.476837993686879
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,1.4248942266231874,34.5648639628083,0.24236237564645094
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.0571269873239855,34.5648639628083,0.00971681413446223
65,80.0,0.2,1.0,0.0,34.5648639628083,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,1.2146043118081262,34.5648639628083,0.20659385165583052
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.04210992124331641,34.5648639628083,0.007162539057373871
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,33.95008924405881,34.5648639628083,5.774621111420268
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,304.24008054522113,34.5648639628083,51.74864723997995
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,1.145087734363586,34.5648639628083,0.19476967373337706
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,10.135637529423873,34.5648639628083,1.7239856435828722
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,226.448985613951,34.5648639628083,38.5170443466467
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.03394878566762629,34.5648639628083,0.005774399384168435
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,26.193428835628197,34.5648639628083,4.455279220250435
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,0.9402137399456088,34.5648639628083,0.15992235168829336
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,7.285339187307695,34.5648639628083,1.23917416453468
