,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2317.3820536823337,612.0362179940055,612.0362179940055,588.5183792567618,588.5183792567618,578.0545893760035,323.0045708192487,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,92.15493613819022,30.979537659728287,30.979537659728287,29.93635352493688,29.93635352493688,29.546151436878567,22.50269680698836,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,61.54058434688426,25.034931092530716,25.001513396518444,24.187107168885895,24.187107168885895,23.838026260470013,20.447652971640842,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1625.6104954696475,577.19124056575,576.7402644686385,556.8594931958563,556.8594931958563,552.344802392337,435.2299638482684,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.60812873029157,25.753016497279777,25.709489474864192,24.84955802298879,24.838693434045794,24.58843785144416,21.72614129441886,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1502.3912395989835,644.7719497706079,643.4267893369775,622.3856134969415,622.3856134969415,613.4368042209063,525.7168319333908,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9505.83416611545,4749.32611841452,4749.32611841452,4606.887564634132,4606.887564634132,4542.33286244812,4082.8840268599033,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13998.620121487435,6467.600673138122,6455.111311990323,6282.362048336759,6282.362048336759,6202.208689398335,5340.732916627938,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.807781222962145,16.12371919530547,16.103754210757586,15.625349098593794,15.625349098593794,15.431076478617332,13.462949929651153,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,834.9128920899427,403.9599570720685,403.69965310437016,392.142376653154,392.142376653154,386.9476010365679,339.6655130665015,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.479070052884262,6.646363412119234,6.646363412119234,6.410253272778962,6.410253272778962,6.294828656774335,5.400289943818732,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,344.5802382282911,165.8670796410138,165.73327842552823,159.98653271194493,159.98653271194493,157.80509700132265,137.75228574836908,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,218.2838774190764,106.37041487891359,106.2283016118328,102.81826946877966,102.81826946877966,101.89571669299589,88.32935480824897,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.843154893896254,3.219742363729595,3.218226003395096,3.0975154884685527,3.0975154884685527,3.0549973106598496,2.409529096456049,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,157.41497850924654,80.95692993687514,80.89964115686112,77.9325060056096,77.9325060056096,77.07094455026949,64.39580595387336,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,118.79073373664063,61.60537059759795,61.59302825345171,59.51505166837898,59.51505166837898,58.909348849743,48.34871139002418,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.388476448584873,2.4899496081838985,2.4875729608805783,2.4045025846679082,2.4045025846679082,2.372841391154041,1.7741754031305428,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.457686065143628,1.9770772297644161,1.97498046164034,1.911060134997922,1.911060134997922,1.8857568758381156,1.3725502405633645,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,91.59222330266915,49.33608747349093,49.295274290512495,47.70089899781361,47.69799016927855,47.15869230495379,37.431232428208354,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.737596545115538,1.595400155596613,1.5938004969138821,1.5430815460910308,1.5430815460910308,1.5215198908554226,1.0591992532712264,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,72.71480980766736,39.27758615105877,39.25872124759946,37.96741517212765,37.96741517212765,37.44703684418453,29.129290564156594,100.0,0.1,10.0
