,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.0086957118506529,0.004011714866617542,0.004011714866617542,0.003858783194151084,0.003858783194151084,0.003817972090164442,0.002818208586447874,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007935007594372129,0.0028501105377940557,0.0028501105377940557,0.0027337869964339555,0.0027337869964339555,0.00267552983493769,0.001595498943994328,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010149751618313135,0.0057126320636186724,0.005710370912412326,0.005491702195686549,0.005491702195686549,0.005442140166723434,0.004279217111707249,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009219166525293664,0.004285579448999813,0.004279734558035297,0.0041101987796828,0.0041101987796828,0.004065416768506865,0.003091168477790209,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012962543630708104,0.007859027422663454,0.00785664176522727,0.007565766199835649,0.007565766199835649,0.007482355928284026,0.00616638467053775,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01160017902503434,0.0061064335995129225,0.006094004916315371,0.005908010959097587,0.005908010959097587,0.005841067971372824,0.0046379779373866125,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.0169622505714537,0.01079630953466362,0.010786327249123153,0.010405009110379924,0.010405009110379924,0.010257826500161774,0.008164280381851291,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014635395689093736,0.0080718314377243,0.008060150097560132,0.007824184893964034,0.007824184893964034,0.007763432177545015,0.006011869313838982,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.02218388623492197,0.014230057414205594,0.014207037129995917,0.01373666815491832,0.01373666815491832,0.013549231400156106,0.010499928022812655,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.019488795534179218,0.011194452866617499,0.01118668966575945,0.010783718267925114,0.010783718267925114,0.010690705855926911,0.008221469973589897,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.024166060405715468,0.013811149891877008,0.013789146206095506,0.013335711276875115,0.013335711276875115,0.01313239869213725,0.009766240503796809,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.02880489731345379,0.01947341389924297,0.01947341389924297,0.018717489401088243,0.018717489401088243,0.018495420026366574,0.013828646493739672,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029880774305221576,0.017313911131605096,0.017310639570573043,0.016692624146968843,0.016692624146968843,0.01648991378765856,0.011424381427275778,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041925656120466885,0.027684260520365423,0.027670221555828232,0.02665488888605855,0.026651401586265805,0.026308504662108257,0.015379076770322067,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.035815052291631365,0.021368130258302455,0.021355015652600923,0.020625655579997897,0.020625655579997897,0.020359455999324264,0.01350639891109452,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04129659367290283,0.0250709864523733,0.02503411414615499,0.024193415686829384,0.024193415686829384,0.02388528557223495,0.014807878376564302,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.057554679257734796,0.03853575304661244,0.0384931632121266,0.03717731345149281,0.03717731345149281,0.036694897325875254,0.0174916049367806,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04856860500768175,0.030094263352262746,0.030062279779245776,0.029025665241438334,0.029025665241438334,0.028686923440812993,0.01714515206007778,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06372560687983093,0.04295053983306277,0.04290008734873882,0.041444564698146245,0.041444564698146245,0.04097899953251795,0.01801851011513526,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.055955939869869,0.035233680954931595,0.03517002452223556,0.034012400499951315,0.034012400499951315,0.03346530867557266,0.01799699058385333,100.0,0.1,1.0
