,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1620.1784519502303,747.4596782751163,747.4596782751163,718.9655647848836,718.9655647848836,711.3616707719406,525.0864912826123,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33765.06921738768,12127.799304700857,12127.799304700857,11632.819006456262,11632.819006456262,11384.922950033448,6789.172113514551,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,937.0398565433222,527.398514828649,527.1897620550151,507.0019475491377,507.0019475491377,502.4263088285016,395.06355813052977,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22229.424480690275,10333.468264855432,10319.374955884701,9910.587158059145,9910.587158059145,9802.607946185959,7453.482486253165,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,734.2811552959238,445.1854435224323,445.0503046678767,428.5732572389187,428.5732572389187,423.8483674099364,349.30336119795885,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17929.361593492533,9438.169515836007,9418.959609273448,9131.48534650858,9131.48534650858,9028.017543944865,7168.508634443173,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38528.39999214091,24522.956457825494,24500.282491978876,23634.14873738839,23634.14873738839,23299.835171244307,18544.512054864506,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20174.85110589185,11126.99655461305,11110.893860600821,10785.616502212057,10785.616502212057,10701.869056357515,8287.34465752543,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,403.5456031210444,258.8580305926224,258.4392701294179,249.88281930168563,249.88281930168563,246.47316972782073,191.003494240034,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9916.801948033773,5696.256179616185,5692.305903404551,5487.255389326501,5487.255389326501,5439.92636548419,4183.4647660400515,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4184.654042712488,2391.5724474429567,2387.762235471527,2309.2443356643917,2309.2443356643917,2274.038231923278,1691.1460585710558,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,167.4818251469007,113.22529173408743,113.22529173408743,108.83008027936454,108.83008027936454,107.53889066730352,80.40462456365232,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2725.2304064523964,1579.0888344623486,1578.7904567325734,1522.4253034450828,1522.4253034450828,1503.9374145686977,1041.943268353705,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,74.71318892044536,49.33445478915633,49.30943679524108,47.50007354149417,47.49385903437974,46.88280305946046,27.40612728544008,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1964.273334885629,1171.9331900166949,1171.2139206417041,1131.2122327905006,1131.2122327905006,1116.6125406326553,740.7572384751311,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1457.7156063883403,884.9729473730292,883.6714033124297,853.9958500662623,853.9958500662623,843.1192610574874,522.6986898239473,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.16909636875993,29.573431941761967,29.540747292520663,28.530926794277985,28.530926794277985,28.160706950869123,13.423554679841445,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1156.9314549201938,716.8622586417306,716.1003919655471,691.4076513519902,691.4076513519902,683.3386313713303,408.4071534390675,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.02457396365492,22.932285636521318,22.9053478893804,22.128210714770987,22.128210714770987,21.87963471544481,9.62049888804308,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,928.4856647707716,584.6379805225407,583.5817193755354,564.3730828592899,564.3730828592899,555.2951026228718,298.6268804524236,100.0,0.1,1.0
