,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,6789.172113514551,64.71540961434737,843.942710813051
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,525.0864912826123,64.71540961434737,65.27201099854862
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,4.888064133161699,64.71540961434737,0.607621375065275
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,323.0045708192487,64.71540961434737,40.15178118103231
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.30980127452515194,64.71540961434737,0.0385105169031792
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,22.50269680698836,64.71540961434737,2.7972463543957615
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,20.447652971640842,64.71540961434737,2.5417896895410803
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,7.6684713908480635,64.71540961434737,0.9532459076272278
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,435.2299638482684,64.71540961434737,54.10220117796202
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,7453.482486253165,64.71540961434737,926.5212472555494
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,395.06355813052977,64.71540961434737,49.10922931655238
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.3597261977116427,64.71540961434737,0.04471654236647077
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,7168.508634443173,64.71540961434737,891.0969567844596
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.48653318740301255,64.71540961434737,0.06047955924700429
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,525.7168319333908,64.71540961434737,65.35036685529509
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,21.72614129441886,64.71540961434737,2.7007149432874553
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,349.30336119795885,64.71540961434737,43.42090915013063
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,11.367916202481235,64.71540961434737,1.413113389351262
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,4082.8840268599033,64.71540961434737,507.5317219759961
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,18544.512054864506,64.71540961434737,2305.215645238055
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,118.12192749935011,64.71540961434737,14.683401456537629
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,5340.732916627938,64.71540961434737,663.8913464007314
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,8287.34465752543,64.71540961434737,1030.1762864122559
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1715.3256666107525,64.71540961434737,213.22726376681652
