,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.00853257419925337,0.002430819833397654,0.002430819833397654,0.002342466832497347,0.002342466832497347,0.002342466832497347,0.0023220838789998156,0.0017882356982654194,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007797850362406921,0.001533050752886134,0.001533050752886134,0.00147076559505345,0.00147076559505345,0.00147076559505345,0.001441642620033988,0.000569103991974223,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.00992442336065425,0.003251700862918402,0.003251700862918402,0.00312322778669734,0.00312322778669734,0.00312322778669734,0.003093954057826845,0.0028394049661607085,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009067226730940773,0.0023133507404017105,0.0023133507404017105,0.0022432079330378125,0.0022432079330378125,0.0022432079330378125,0.002213979902536133,0.0017423945084817179,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012724226062311614,0.004392923281374723,0.004392923281374723,0.004233224197290698,0.00423083812205111,0.00423083812205111,0.004197453958867075,0.003889808600450313,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.011389280262273612,0.0033495168611909795,0.0033495168611909795,0.0032502644519576233,0.003245297535825088,0.003245297535825088,0.003203127868761066,0.0028385180491927496,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.016678289973720794,0.006188047550676425,0.006188047550676425,0.0059737536742072465,0.005968756227897268,0.005968756227897268,0.005891387211418907,0.0053358171717298045,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014385503651502964,0.004404997888677345,0.004404997888677345,0.004295175826746254,0.004292835903376414,0.004292835903376414,0.004253128789772178,0.0038070192770451724,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.021812241159092083,0.008312884198958781,0.008312884198958781,0.008020223188357866,0.008016924830848494,0.008016924830848494,0.00791171421868098,0.006947651559902757,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01919187982939379,0.006168321194490665,0.006168321194490665,0.00593579648725611,0.00593579648725611,0.00593579648725611,0.005894448504602198,0.0051143537305080545,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.023795122594237866,0.00773515253683566,0.00773515253683566,0.0075208230998715835,0.007507070191043005,0.007507070191043005,0.007399998433606385,0.006311581463530359,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028271549551741246,0.011336408193149784,0.011336408193149784,0.010891390396770456,0.010891390396770456,0.010891390396770456,0.010891390396770456,0.009468834782993844,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029259443458962652,0.009521607473772814,0.009521607473772814,0.009168414337322092,0.009168414337322092,0.009168414337322092,0.009050745214129345,0.007412567789427883,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041095919273227074,0.015792703721990497,0.015792703721990497,0.015193868801921643,0.015186840004379195,0.01518334931721414,0.015011888999332281,0.011378020994120606,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.03524696675660726,0.01154199246740987,0.01154199246740987,0.011141145821583608,0.011137863412978762,0.011137863412978762,0.010983420110789741,0.008775544339067812,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.040690155793802536,0.013323932192886342,0.013323932192886342,0.012925405081735897,0.01291535031874964,0.01291535031874964,0.012794838420975617,0.009736275971908903,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05643136437718182,0.0213376989811396,0.0213376989811396,0.020583400047598947,0.020565158531927252,0.020565158531927252,0.020281428867069975,0.014012513982532223,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04784566505453205,0.0162207545786254,0.0162207545786254,0.015688385971172336,0.015680393093049805,0.015680393093049805,0.015515084361193265,0.01155126550278336,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.062309231335869325,0.023681539505845776,0.023681539505845776,0.022881858683835257,0.022858528030623312,0.022858528030623312,0.02257137399307167,0.014971923814397289,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05505266850358572,0.018355474756895026,0.018355474756895026,0.01775736746162357,0.01773188748377876,0.01773188748377876,0.01746486835898932,0.012490274786691985,100.0,0.1,1.0
