,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.001890537805221129,0.00019767572356247908,0.00019767572356247908,0.00019425939401536017,0.00019425939401536017,0.00019425939401536017,0.00019425939401536017,9.882522490202593e-05,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.001770012398313508,0.0001487991176410312,0.0001487991176410312,0.00014197387584692511,0.00014197387584692511,0.00014197387584692511,0.00013788129693932956,3.481266297971769e-05,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0023622318036712426,0.0004725384910732689,0.0004725384910732689,0.00045614786099174357,0.00045614786099174357,0.00045614786099174357,0.00045204750704473375,0.0003277497457395037,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022265338211656174,0.0003165586284887546,0.0003165586284887546,0.0003040352865888664,0.0003040352865888664,0.0003040352865888664,0.0003012548199526117,0.0001787871014537812,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003310249490033026,0.0007067528894801106,0.0007067528894801106,0.0006833374745254336,0.000682033361224095,0.000682033361224095,0.000675556115217739,0.0005405335476270252,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003732976318305775,0.0009323813273123542,0.0009323813273123542,0.0009009136156856015,0.0009009136156856015,0.0009009136156856015,0.0008893061114627807,0.0007667831732664146,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004578148037920765,0.0010916253873655053,0.0010916253873655053,0.0010680119133367424,0.0010680119133367424,0.0010680119133367424,0.0010507599213697922,0.000881740001100262,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.00534542407353958,0.0013770635378360476,0.0013770635378360476,0.0013437299330500362,0.0013437299330500362,0.0013437299330500362,0.0013257769884092519,0.0011847578358762934,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006402598035495598,0.0016079005331848025,0.0016079005331848025,0.0015545770831194281,0.0015545770831194281,0.0015545770831194281,0.0015382677883167889,0.0013282446870701748,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007318925639079316,0.0020833242148943078,0.0020833242148943078,0.0020256278050546743,0.0020239266737611993,0.0020239266737611993,0.001991717327189267,0.0017914042796255375,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008484155975624286,0.002303196810241705,0.002303196810241705,0.0022364397307663795,0.0022364397307663795,0.0022364397307663795,0.0022074626513872344,0.0019290735742955938,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.009812278165923926,0.0029549025899536494,0.0029549025899536494,0.0028521435203385922,0.0028521435203385922,0.0028521435203385922,0.00283607672950326,0.0025024014383922444,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010627569852115664,0.003016371739681729,0.003016371739681729,0.0029171641433715974,0.0029171641433715974,0.0029171641433715974,0.0028755532995924558,0.0025652845104847384,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013246358983640382,0.0037862698521979126,0.0037862698521979126,0.0036526346045423945,0.0036493706182696645,0.0036493706182696645,0.0035906815952026602,0.003094973767668521,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.014901709070533016,0.004880210569428954,0.004880210569428954,0.004707687191960372,0.004707687191960372,0.004707687191960372,0.004630357964405145,0.00377889558375577,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015500228847588993,0.0048285786640228255,0.0048285786640228255,0.004677833798357708,0.004674481039398509,0.004674481039398509,0.004614167694846081,0.003839982167157382,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.018569199697786594,0.006590471000521498,0.006590471000521498,0.006374529098203096,0.006374529098203096,0.006374529098203096,0.006273792808726325,0.004989403529955945,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.02135223149311782,0.007683121488746603,0.007683121488746603,0.007365906637603879,0.00736037664634631,0.00736037664634631,0.007255176809149252,0.005414161709983508,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018017726967609057,0.005846959241817034,0.005846959241817034,0.005687043309010442,0.005687043309010442,0.005687043309010442,0.005608485944096144,0.004531277981415539,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.02498571500595181,0.009348678843165356,0.009348678843165356,0.008996660628901896,0.008992783406841726,0.008992783406841726,0.008865092003209542,0.006377067353487889,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.020528685096996024,0.006954899615821653,0.006954899615821653,0.006717373228508801,0.006714806315089028,0.006714806315089028,0.006619835362932855,0.005215203868756957,100.0,0.1,100.0
