,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.001770012398313508,0.0001487991176410312,0.0001487991176410312,0.0001303884521941236,0.0001249243696009968,0.0001249243696009968,0.0001249243696009968,0.00012219359450617754,2.9355181902047745e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.001890537805221129,0.00019767572356247908,0.00019767572356247908,0.00018745455167024742,0.00018403821096966053,0.00018403821096966053,0.00018403821096966053,0.00018403821096966053,9.540413282408247e-05,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0023622318036712426,0.0004725384910732689,0.0004725384910732689,0.0004056483814528049,0.00039471014464329717,0.00039471014464329717,0.00039471014464329717,0.0003933408336125879,0.0002827044085060713,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022265338211656174,0.0003165586284887546,0.0003165586284887546,0.00027343337823878427,0.00026438653653792035,0.00026438653653792035,0.00026438653653792035,0.000262998615411747,0.00015583800630240073,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003732976318305775,0.0009323813273123542,0.0009323813273123542,0.0008181293761731864,0.0007982507397830396,0.0007982507397830396,0.0007982507397830396,0.0007899658947086485,0.0006757204009701622,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003310249490033026,0.0007067528894801106,0.0007067528894801106,0.0006170508505178176,0.0005988433811307313,0.0005975393167238626,0.0005975393167238626,0.0005949579820796339,0.00047292031886191375,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.00534542407353958,0.0013770635378360476,0.0013770635378360476,0.0012130278208064519,0.0012002336396444286,0.0012002336396444286,0.0012002336396444286,0.0011899861929001996,0.0010694435215774381,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004578148037920765,0.0010916253873655053,0.0010916253873655053,0.0009581318673215352,0.000940888066527578,0.000940888066527578,0.000940888066527578,0.000929987490361654,0.0007773271189581593,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007318925639079316,0.0020833242148943078,0.0020833242148943078,0.001849292440562367,0.0018119396786654112,0.0018102385473719362,0.0018102385473719362,0.0017949560728846132,0.0016218114290578079,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006402598035495598,0.0016079005331848025,0.0016079005331848025,0.0014065013288001573,0.0013738660278592477,0.0013738660278592477,0.0013738660278592477,0.0013608336079998769,0.0011714898158233721,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.009812278165923926,0.0029549025899536494,0.0029549025899536494,0.002547604818101745,0.002467335701129225,0.002467335701129225,0.002467335701129225,0.002451268910293893,0.0021528959957848683,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008484155975624286,0.002303196810241705,0.002303196810241705,0.0020015305851889516,0.0019478263282145703,0.0019478263282145703,0.0019478263282145703,0.0019318938927960865,0.0016839560769694858,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010627569852115664,0.003016371739681729,0.003016371739681729,0.002635675917263272,0.0025748849150770414,0.0025748849150770414,0.0025748849150770414,0.0025588810354195677,0.0022645913765642076,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.014901709070533016,0.004880210569428954,0.004880210569428954,0.004225655737680349,0.004105920310606727,0.004105920310606727,0.004105920310606727,0.004067242072484131,0.003328438548972381,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013246358983640382,0.0037862698521979126,0.0037862698521979126,0.0031765388383035442,0.003088487841071307,0.003088487841071307,0.003088487841071307,0.003059115355419012,0.00262542462338766,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015500228847588993,0.0048285786640228255,0.0048285786640228255,0.004155047449035042,0.004054579804239784,0.004051226682113453,0.004051226682113453,0.004017689650176036,0.003334002103185114,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.018569199697786594,0.006590471000521498,0.006590471000521498,0.005723255289605694,0.0055720896062166295,0.0055720896062166295,0.0055720896062166295,0.005514519919719483,0.0043848750908847,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.02135223149311782,0.007683121488746603,0.007683121488746603,0.006616719429897873,0.006399097295869201,0.006397253965450012,0.006397253965450012,0.006340027287499317,0.004707511777135066,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018017726967609057,0.005846959241817034,0.005846959241817034,0.005035337160260306,0.004930965255727361,0.004930965255727361,0.004930965255727361,0.004884920826186745,0.003945948709832647,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.02498571500595181,0.009348678843165356,0.009348678843165356,0.008137548058018801,0.007913271145918967,0.007909393393023358,0.007909393393023358,0.007824199613116938,0.005603188906004722,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.020528685096996024,0.006954899615821653,0.006954899615821653,0.006011326706809099,0.005849542129013855,0.00584825473624895,0.00584825473624895,0.005798206888353036,0.004569403210735756,100.0,0.1,100.0
