,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018355667168386978,0.0001508440411317353,0.0001508440411317353,0.00013175169870949317,0.0001256060312284314,0.0001256060312284314,0.0001256060312284314,0.00012287527148151207,2.9355181902047745e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019858954950045713,0.0002078869019474068,0.0002078869019474068,0.00019425544568769766,0.0001908391384475147,0.0001908391384475147,0.0001908391384475147,0.00018744734652993675,9.540413282408247e-05,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024673627086135206,0.00048071915795856317,0.00048071915795856317,0.000409737913255103,0.00039744031304285335,0.00039744031304285335,0.00039744031304285335,0.0003947065008235289,0.0002840700392788146,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0023086230777789605,0.0003207332352502314,0.0003207332352502314,0.00027621993630487653,0.00026647671022591207,0.00026647671022591207,0.00026647671022591207,0.00026508875720743593,0.00015583800630240073,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003908501818961255,0.0009456257463304087,0.0009456257463304087,0.0008247569184794057,0.0008048782820892589,0.0008048782820892589,0.0008048782820892589,0.0007916185539527348,0.0006773729876591847,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.0033920777102450315,0.0007158739572632355,0.0007158739572632355,0.0006196496404878029,0.0006014421222062466,0.000600138057799378,0.000600138057799378,0.0005975567720496192,0.00047421817367110435,20.0,0.1,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004728859304907245,0.0011052506634731697,0.0011052506634731697,0.0009644913756067232,0.0009472474761239347,0.0009472474761239347,0.0009472474761239347,0.0009354455748622841,0.0007818732199692886,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005550480075416692,0.0013975712469190662,0.0013975712469190662,0.001218163954216337,0.0012053697730543137,0.0012053697730543137,0.0012053697730543137,0.0011925525562666245,0.001072009884943863,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007651553100853787,0.0021104842625054364,0.0021104842625054364,0.0018645793130106349,0.0018272265511136792,0.0018255256397182512,0.0018255256397182512,0.0018034487553672011,0.001628600341470354,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006617018034462653,0.0016285889245025373,0.0016285889245025373,0.001414114432049729,0.0013814791311088195,0.0013803955584187838,0.0013803955584187838,0.0013651848522889208,0.001175841060112416,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010203898828411074,0.0029837561331650694,0.0029837561331650694,0.0025540279799089504,0.002470547117471396,0.002470547117471396,0.002470547117471396,0.0024544804911974956,0.002156107576688471,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008768426701075858,0.0023351087076852956,0.0023351087076852956,0.0020087737049265105,0.0019550693201624376,0.0019550693201624376,0.0019550693201624376,0.0019347949743818676,0.0016868572863449588,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.011007984287985505,0.0030419572648282644,0.0030419572648282644,0.0026452447939509685,0.002581252290691437,0.002581252290691437,0.002581252290691437,0.0025652485686734868,0.0022709587521786033,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015570306770111413,0.00491539246002045,0.00491539246002045,0.004243252004985857,0.004123516152151453,0.004123516152151453,0.004123516152151453,0.004081328367913556,0.0033425252701625866,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013686654659428905,0.0038417243889720043,0.0038417243889720043,0.00320264564228197,0.0031113252334933573,0.0031113252334933573,0.0031113252334933573,0.0030754078212842126,0.0026417170892528603,70.0,0.1,100.0
