,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2593,218,218,191,183,183,183,179,43,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,555,58,58,55,54,54,54,54,28,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1730,346,346,297,289,289,289,288,207,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3200,455,455,393,380,380,380,378,224,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2254,563,563,494,482,482,482,477,408,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2547,544,544,475,461,460,460,458,364,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2084,537,537,473,468,468,468,464,417,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5042,1202,1202,1055,1036,1036,1036,1024,856,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4314,1228,1228,1090,1068,1067,1067,1058,956,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,5881,1477,1477,1292,1262,1262,1262,1250,1076,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3058,921,921,794,769,769,769,764,671,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,5850,1588,1588,1380,1343,1343,1343,1332,1161,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3323,943,943,824,805,805,805,800,708,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4235,1387,1387,1201,1167,1167,1167,1156,946,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4061,1161,1161,974,947,947,947,938,805,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4626,1441,1441,1240,1210,1209,1209,1199,995,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5162,1832,1832,1591,1549,1549,1549,1533,1219,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,11575,4165,4165,3587,3469,3468,3468,3437,2552,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13297,4315,4315,3716,3639,3639,3639,3605,2912,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6457,2416,2416,2103,2045,2044,2044,2022,1448,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,15990,5417,5417,4682,4556,4555,4555,4516,3559,100.0,0.1,100.0
