,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2510,715,715,689,689,689,683,526,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1877,369,369,354,354,354,347,137,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4404,1443,1443,1386,1386,1386,1373,1260,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4653,1187,1187,1151,1151,1151,1136,894,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5338,1843,1843,1776,1775,1775,1761,1632,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4590,1350,1350,1310,1308,1308,1291,1144,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6692,2483,2483,2397,2395,2395,2364,2141,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6159,1886,1886,1839,1838,1838,1821,1630,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6631,2527,2527,2438,2437,2437,2405,2112,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7430,2388,2388,2298,2298,2298,2282,1980,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8659,2815,2815,2737,2732,2732,2693,2297,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,636,255,255,245,245,245,245,213,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,8948,2912,2912,2804,2804,2804,2768,2267,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,11739,4511,4511,4340,4338,4337,4288,3250,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10729,3513,3513,3391,3390,3390,3343,2671,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12148,3978,3978,3859,3856,3856,3820,2907,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,27832,10524,10524,10152,10143,10143,10003,6911,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,35866,12159,12159,11760,11754,11754,11630,8659,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16055,6102,6102,5896,5890,5890,5816,3858,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4328,1443,1443,1396,1394,1394,1373,982,100.0,0.1,1.0
