,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2261.1542770856013,479.95639014390116,479.95639014390116,461.6654762777017,461.6654762777017,461.6654762777017,453.8155605541854,152.97594030873017,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,89.28593636733373,24.98048501956582,24.98048501956582,23.937203524702362,23.937203524702362,23.937203524702362,23.67685244361449,16.30776082607747,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,59.57937506719607,20.59508028347353,20.59508028347353,19.847348081636483,19.847348081636483,19.847348081636483,19.59806971978722,17.287840829011678,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1590.8073533491263,468.6902494672587,468.6902494672587,454.23043278162805,454.23043278162805,454.23043278162805,450.61483648933347,328.1112829510685,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,53.09502376623288,22.205531268138415,22.205531268138415,21.399859833838068,21.378077249029893,21.378077249029893,21.16047266012833,19.865423604420013,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1478.2030039752353,534.6368466530504,534.6368466530504,515.3968966062217,514.9480719830433,514.9480719830433,509.58150758719427,460.34837302914144,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9270.489494571348,4119.31078757944,4119.31078757944,3999.6538575228437,3999.6538575228437,3999.6538575228437,3948.3747190174495,3771.8330546848024,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13748.376745674928,5418.115353315087,5418.115353315087,5287.963167520426,5280.467263892536,5280.467263892536,5202.834307597632,4784.713129852759,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.139997515378116,13.95185626451637,13.95185626451637,13.503270077051035,13.498284321833905,13.498284321833905,13.33884480535809,12.536604620591746,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,816.5977152743085,344.33618266016407,344.33618266016407,335.76335306561145,335.76335306561145,335.76335306561145,331.86778450237523,309.90517205939494,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.15737046465795,5.6513624952136725,5.6513624952136725,5.445403898809933,5.445403898809933,5.445403898809933,5.349974852823679,4.9677820440714955,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,339.2337181953045,143.0095473815899,143.0095473815899,137.88520741601252,137.88520741601252,137.88520741601252,136.05976869449648,126.56896058524865,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,213.666239644726,91.80523355869153,91.80523355869153,88.53764381071524,88.46661518806813,88.46661518806813,87.7569872175893,79.65869483549129,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.683738234018399,2.8043419550809294,2.8043419550809294,2.698072328376306,2.6965556005283955,2.6965556005283955,2.663902217702394,2.247027345248102,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,154.46705110575618,70.2733210249113,70.2733210249113,67.78501782437746,67.746865121424,67.746865121424,67.03844006303547,59.55113734920158,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,116.41684127070758,52.92218551888278,52.92218551888278,51.09202131953633,51.079678975390095,51.079678975390095,50.5480784967716,43.92032819466564,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.285621322670807,2.1498385128980213,2.1498385128980213,2.071514638587863,2.071514638587863,2.071514638587863,2.0445979491223523,1.6514817852383015,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.3680187172254707,1.7203279336027435,1.7203279336027435,1.663893769923184,1.6634444962124826,1.6634444962124826,1.641287412820676,1.274933834458862,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,89.73223952044721,42.57880588852193,42.57880588852193,41.19436437198315,41.1652444719354,41.16233037408408,40.687200683909495,34.2013252408832,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.663946524317863,1.3698485004028815,1.3698485004028815,1.327109441003907,1.3261116807367888,1.3261116807367888,1.308341164002139,0.9849036293322191,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,71.35302417982835,33.75321287954606,33.75321287954606,32.60742637213102,32.60202658977514,32.60202658977514,32.173358139980905,26.460067930502806,100.0,0.1,10.0
