,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1589.782768188073,452.9085119521783,452.9085119521783,389.55508383309194,379.42307873298614,379.42307873298614,379.42307873298614,377.5230998442311,289.4614587944274,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33181.43733349949,6523.442374734677,6523.442374734677,5798.55952096968,5639.559151152773,5639.559151152773,5639.559151152773,5586.294651431065,2156.2889089491146,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,916.2372235162364,300.2017610572086,300.2017610572086,261.09010870998947,253.60048129764314,253.60048129764314,253.60048129764314,252.55975991214092,231.55470094986856,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,21863.064444247437,5577.9940019546075,5577.9940019546075,4755.928017744993,4652.64627775202,4652.64627775202,4652.64627775202,4619.77423420993,3595.4347874896603,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,720.7813280679609,248.84319575462715,248.84319575462715,216.43554941034262,210.49609025089774,210.49609025089774,210.49609025089774,209.14493837583962,193.88066158155678,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17603.394195144898,5177.049322962102,5177.049322962102,4471.387351086997,4356.31294988233,4352.464386868895,4352.464386868895,4310.321871326941,3838.7513716509616,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,37883.40613089746,14055.656718341737,14055.656718341737,12164.499632378085,11858.915109219119,11847.565240106582,11847.565240106582,11739.845288950723,10624.72744968842,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,19830.37564666674,6072.276992965708,6072.276992965708,5376.610028486184,5270.298235622112,5267.072308026416,5267.072308026416,5225.201384472261,4671.425545330521,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,396.78503219652146,151.219125099161,151.219125099161,130.21678941558224,126.68702309676164,126.68702309676164,126.68702309676164,125.55056372515162,110.10744537320056,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9765.717483401058,3138.7275591425746,3138.7275591425746,2708.841806859436,2628.642951740959,2628.642951740959,2628.642951740959,2614.176739581367,2264.538248363177,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4120.421545303538,1339.4379055103077,1339.4379055103077,1161.5340563402406,1137.26652905691,1135.3636867626806,1135.3636867626806,1128.2343161912222,960.699263948114,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,164.38075328409943,65.91387270497968,65.91387270497968,56.61390540900666,55.060376408151974,55.060376408151974,55.060376408151974,55.060376408151974,47.82192464502777,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2668.5628751027916,868.403674575984,868.403674575984,748.2076889444444,724.3453535702653,724.3453535702653,724.3453535702653,719.5755455398667,589.2473063771521,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,73.23456481390885,28.14322698624846,28.14322698624846,24.23158712581891,23.432837341319743,23.420313253281215,23.41409572795061,23.251954136549816,17.53729531278351,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1933.116734602155,633.0195430283235,633.0195430283235,535.8787633311292,521.4588697841068,521.2788463781881,521.2788463781881,516.9525898270416,412.9844084106824,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1436.3091444493355,470.31733536838203,470.31733536838203,408.4846093129777,399.02546967322456,398.7887110969632,398.7887110969632,396.30614296136287,301.9413272132082,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,43.3070326086715,16.375156542269966,16.375156542269966,14.115821572576111,13.733014850126295,13.720565425302631,13.720565425302631,13.608584419919117,9.346890867025275,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1139.7106191213247,386.3874861463357,386.3874861463357,333.35041516685,325.0863195125336,324.9277480915325,324.9277480915325,322.48222695178293,239.85624867271102,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,33.268338333812906,12.644121130290651,12.644121130290651,10.88480126227617,10.580084486993695,10.569711043502497,10.569711043502497,10.464047935036382,6.903861545726442,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,913.4975416699469,304.5752644218554,304.5752644218554,258.13744243793093,251.5946034784684,251.5946034784684,251.5946034784684,248.85110295154138,177.06590143960707,100.0,0.1,1.0
