,dataset,runNum,LS,eventNum
0,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,467,4317875
1,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,671,6208180
2,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,298,2751915
3,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2591,23992635
4,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2078,19240139
5,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1282,11864826
6,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1524,14108256
7,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1832,16959812
8,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,197,1819692
9,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,290,2679071
10,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2461,22790526
11,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,28,258386
12,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1679,15544389
13,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2098,19431044
14,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2066,19134079
15,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2141,19828457
16,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1537,14230864
17,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,371,3429696
0,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6518,55760792
1,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6778,57990484
2,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1895,16211438
3,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12770,109258744
4,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,15723,134520647
5,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11153,95419468
6,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,19,162558
7,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,25359,216963079
8,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5027,43010322
9,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,24,202338
10,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,646,5520865
11,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,17634,150870114
12,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,8349,71426575
13,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4596,39323062
14,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,25337,216775445
15,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,18035,154300753
16,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,9401,80434317
17,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4929,42172075
18,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1419,12137125
19,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1297,11095552
20,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5112,43736965
21,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11546,98785603
22,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11951,102246651
23,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12420,106263653
24,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,23837,203941600
25,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14320,122517234
26,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,16306,139510653
27,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12460,106600985
28,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21473,183718441
29,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,993,8493007
30,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,18885,161572113
31,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12874,110143430
32,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14643,125281166
33,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,231,1975084
34,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2233,19100838
35,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22099,189075542
36,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21215,181513674
37,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,8883,75998136
38,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2450,20955608
39,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4755,40682546
40,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,16619,142186984
41,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11515,98518780
42,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1226,10487317
43,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,533,4559307
44,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,13981,119618149
45,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,8714,74548477
