,dataset,runNum,LS,eventNum
0,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,467,4317875
1,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,671,6208180
2,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,298,2751915
3,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2591,23992635
4,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2078,19240139
5,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1282,11864826
6,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1524,14108256
7,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1832,16959812
8,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,197,1819692
9,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,290,2679071
10,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2461,22790526
11,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1679,15544389
12,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2098,19431044
13,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2066,19134079
14,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2141,19828457
0,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,2698,29767798
1,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,2091,23075856
2,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,1905,21025259
3,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5295,58434972
4,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5252,57962112
5,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,2266,25009212
6,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,3525,38901395
7,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,523,5770215
8,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,3839,42370216
9,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6163,68013603
10,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6163,68016617
11,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,4553,50244535
12,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,19,200223
13,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6384,70453335
14,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,834,9195581
15,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,4687,51725883
16,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6044,66699056
17,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5446,60106435
18,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,3666,40458779
19,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5218,57589135
20,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,4414,48716556
21,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6471,71413401
22,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5396,59550196
23,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,3497,38592701
24,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5409,59692137
25,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,1080,11919283
26,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6053,66806792
27,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,4193,46270936
28,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5183,57203192
29,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,1812,19992355
0,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2814,24071962
1,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2730,23353124
2,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3736,31961215
3,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6167,52763911
4,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6020,51499006
5,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,9550,81708119
6,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14955,127954123
7,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22977,196587103
8,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21053,180126140
9,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22077,188886336
10,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3913,33473799
11,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3518,30095414
12,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4079,34891734
13,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,15844,135556005
14,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4821,41247210
15,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,16802,143749575
16,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14304,122378415
17,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14511,124152477
18,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,24297,207881728
