,dataset,runNum,LS,eventNum
0,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,467,4317875
1,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2078,19240139
2,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1282,11864826
3,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,1832,16959812
4,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,197,1819692
5,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,290,2679071
6,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2098,19431044
7,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2066,19134079
8,bkg_2018_ZJets_ZJetsNuNu_HT800to1200,1,2141,19828457
0,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6518,55760792
1,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1895,16211438
2,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12770,109258744
3,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,15723,134520647
4,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5027,43010322
5,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,17634,150870114
6,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,9401,80434317
7,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4929,42172075
8,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1297,11095552
9,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5112,43736965
10,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11546,98785603
11,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11951,102246651
12,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,993,8493007
13,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,18885,161572113
14,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22099,189075542
15,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21215,181513674
16,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2450,20955608
17,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4746,40601081
18,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,10089,86316759
19,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,16673,142648031
0,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2814,24071962
1,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,2730,23353124
2,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3736,31961215
3,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6167,52763911
4,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14955,127954123
5,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22077,188886336
6,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3913,33473799
7,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,3518,30095414
8,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,15844,135556005
9,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4821,41247210
10,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14304,122378415
11,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22011,188322057
12,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,18982,162406173
13,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,19122,163602467
14,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,19776,169202371
15,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,24695,211290249
16,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,19836,169711798
17,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,20925,179028586
18,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,10201,87276437
19,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,10993,94049080
0,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,2698,29767798
1,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,2091,23075856
2,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,1905,21025259
3,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5295,58434972
4,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5252,57962112
5,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6384,70453335
6,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6044,66699056
7,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,3666,40458779
8,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6471,71413401
9,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,5409,59692137
10,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,1080,11919283
11,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,6053,66806792
12,bkg_2018_ZJets_ZJetsNuNu_HT600to800,1,4193,46270936
0,bkg_2018_ZJets_ZJetsNuNu_HT2500toInf,1,478,3136845
0,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,16629,142274908
1,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5802,49637946
2,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,14904,127511795
3,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6060,51842988
4,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,15570,133208614
5,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,25193,215542759
6,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,10659,91191836
7,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11352,97125363
8,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,10360,88635108
9,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,11961,102337689
10,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,12890,110278832
11,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,22904,195963205
12,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,20988,179567363
13,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,19268,164851478
14,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5842,49978618
15,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,23797,203606632
16,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4459,38146157
17,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,17470,149471895
18,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5189,44396387
19,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,5877,50280168
20,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21496,183918740
21,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,6454,55211934
22,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,1720,14708378
23,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,9806,83898821
24,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,21865,187073614
25,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,4691,40128193
26,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,8178,69966044
27,bkg_2018_ZJets_ZJetsNuNu_HT400to600,1,17706,151488745
0,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,13146,120609135
1,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,1589,14574604
2,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,13895,127484984
3,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,5446,49961094
4,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,16108,147788590
5,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,24822,227737536
0,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,10695,98125936
1,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,862,7901418
2,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,2854,26184058
3,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,9349,85769169
4,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,11233,103060527
5,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,8981,82398635
6,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,6502,59652064
7,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,6707,61535458
8,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,16551,151852881
9,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,12754,117009757
10,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,17974,164905000
11,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,20784,190688361
12,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,22353,205085822
13,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,9617,88235012
14,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,23245,213263872
15,bkg_2018_ZJets_ZJetsNuNu_HT200to400,1,13750,126152901
0,bkg_2018_WJets_WJetsLNu_HT600to800,1,7485,67512724
1,bkg_2018_WJets_WJetsLNu_HT600to800,1,9235,83296196
2,bkg_2018_WJets_WJetsLNu_HT600to800,1,1933,17430163
3,bkg_2018_WJets_WJetsLNu_HT600to800,1,5134,46306457
4,bkg_2018_WJets_WJetsLNu_HT600to800,1,653,5885585
5,bkg_2018_WJets_WJetsLNu_HT600to800,1,4341,39149718
6,bkg_2018_WJets_WJetsLNu_HT600to800,1,3066,27647908
7,bkg_2018_WJets_WJetsLNu_HT600to800,1,5005,45144870
8,bkg_2018_WJets_WJetsLNu_HT600to800,1,1734,15636758
9,bkg_2018_WJets_WJetsLNu_HT600to800,1,5986,53990880
10,bkg_2018_WJets_WJetsLNu_HT600to800,1,138,1239119
0,bkg_2018_WJets_WJetsLNu_HT600to800,1,5844,52712181
1,bkg_2018_WJets_WJetsLNu_HT600to800,1,8342,75241405
2,bkg_2018_WJets_WJetsLNu_HT600to800,1,6627,59766891
3,bkg_2018_WJets_WJetsLNu_HT600to800,1,4545,40991121
4,bkg_2018_WJets_WJetsLNu_HT600to800,1,9825,88614030
5,bkg_2018_WJets_WJetsLNu_HT600to800,1,7698,69429411
6,bkg_2018_WJets_WJetsLNu_HT600to800,1,3433,30957184
7,bkg_2018_WJets_WJetsLNu_HT600to800,1,7046,63548029
8,bkg_2018_WJets_WJetsLNu_HT600to800,1,9495,85644383
9,bkg_2018_WJets_WJetsLNu_HT600to800,1,9163,82650102
10,bkg_2018_WJets_WJetsLNu_HT600to800,1,4158,37504546
11,bkg_2018_WJets_WJetsLNu_HT600to800,1,2683,24193213
12,bkg_2018_WJets_WJetsLNu_HT600to800,1,4058,36595776
0,bkg_2018_WJets_WJetsLNu_HT800to1200,1,10559,87255898
1,bkg_2018_WJets_WJetsLNu_HT800to1200,1,6616,54666843
2,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3198,26425419
3,bkg_2018_WJets_WJetsLNu_HT800to1200,1,4418,36506723
4,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3546,29299920
5,bkg_2018_WJets_WJetsLNu_HT800to1200,1,8605,71103556
6,bkg_2018_WJets_WJetsLNu_HT800to1200,1,2567,21211170
7,bkg_2018_WJets_WJetsLNu_HT800to1200,1,6644,54902155
8,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3236,26742076
9,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3823,31591395
10,bkg_2018_WJets_WJetsLNu_HT800to1200,1,1946,16075924
11,bkg_2018_WJets_WJetsLNu_HT800to1200,1,1864,15398654
12,bkg_2018_WJets_WJetsLNu_HT800to1200,1,1066,8807470
13,bkg_2018_WJets_WJetsLNu_HT800to1200,1,4298,35513823
14,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3525,29126840
0,bkg_2018_WJets_WJetsLNu_HT800to1200,1,9308,76915898
1,bkg_2018_WJets_WJetsLNu_HT800to1200,1,7450,61559710
2,bkg_2018_WJets_WJetsLNu_HT800to1200,1,7909,65356905
3,bkg_2018_WJets_WJetsLNu_HT800to1200,1,10452,86374727
4,bkg_2018_WJets_WJetsLNu_HT800to1200,1,412,3398218
5,bkg_2018_WJets_WJetsLNu_HT800to1200,1,2475,20446646
6,bkg_2018_WJets_WJetsLNu_HT800to1200,1,2916,24090949
7,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3840,31726239
8,bkg_2018_WJets_WJetsLNu_HT800to1200,1,3840,31730772
9,bkg_2018_WJets_WJetsLNu_HT800to1200,1,7849,64862900
0,bkg_2018_WJets_WJetsLNu_HT400to600,1,2933,25761473
1,bkg_2018_WJets_WJetsLNu_HT400to600,1,7547,66285760
2,bkg_2018_WJets_WJetsLNu_HT400to600,1,6976,61274961
3,bkg_2018_WJets_WJetsLNu_HT400to600,1,5464,47992773
4,bkg_2018_WJets_WJetsLNu_HT400to600,1,4514,39645712
5,bkg_2018_WJets_WJetsLNu_HT400to600,1,7549,66306809
6,bkg_2018_WJets_WJetsLNu_HT400to600,1,7031,61758475
7,bkg_2018_WJets_WJetsLNu_HT400to600,1,3579,31429785
8,bkg_2018_WJets_WJetsLNu_HT400to600,1,3086,27104193
9,bkg_2018_WJets_WJetsLNu_HT400to600,1,4904,43071156
10,bkg_2018_WJets_WJetsLNu_HT400to600,1,1857,16303807
11,bkg_2018_WJets_WJetsLNu_HT400to600,1,3194,28050833
0,bkg_2018_WJets_WJetsLNu_HT200to400,1,4646,33389954
1,bkg_2018_WJets_WJetsLNu_HT200to400,1,28796,206982125
2,bkg_2018_WJets_WJetsLNu_HT200to400,1,46380,333377131
3,bkg_2018_WJets_WJetsLNu_HT200to400,1,2132,15318811
4,bkg_2018_WJets_WJetsLNu_HT200to400,1,2988,21471512
5,bkg_2018_WJets_WJetsLNu_HT200to400,1,57665,414495622
6,bkg_2018_WJets_WJetsLNu_HT200to400,1,62875,451944750
7,bkg_2018_WJets_WJetsLNu_HT200to400,1,76951,553116680
8,bkg_2018_WJets_WJetsLNu_HT200to400,1,78891,567063121
9,bkg_2018_WJets_WJetsLNu_HT200to400,1,14486,104123612
0,bkg_2018_WJets_WJetsLNu_HT200to400,1,52526,377550682
1,bkg_2018_WJets_WJetsLNu_HT200to400,1,290,2084485
2,bkg_2018_WJets_WJetsLNu_HT200to400,1,1119,8039250
3,bkg_2018_WJets_WJetsLNu_HT200to400,1,26683,191794641
4,bkg_2018_WJets_WJetsLNu_HT200to400,1,71894,516767463
5,bkg_2018_WJets_WJetsLNu_HT200to400,1,779,5598954
6,bkg_2018_WJets_WJetsLNu_HT200to400,1,66,473034
7,bkg_2018_WJets_WJetsLNu_HT200to400,1,797,5725737
8,bkg_2018_WJets_WJetsLNu_HT200to400,1,34244,246140752
9,bkg_2018_WJets_WJetsLNu_HT200to400,1,75817,544966113
10,bkg_2018_WJets_WJetsLNu_HT200to400,1,76708,551372897
11,bkg_2018_WJets_WJetsLNu_HT200to400,1,67710,486695964
0,bkg_2018_WJets_WJetsLNu_HT2500toInf,1,2612,15000721
0,bkg_2018_WJets_WJetsLNu_HT200to400,1,66665,479186649
1,bkg_2018_WJets_WJetsLNu_HT200to400,1,42623,306369100
2,bkg_2018_WJets_WJetsLNu_HT200to400,1,69643,500590001
3,bkg_2018_WJets_WJetsLNu_HT200to400,1,5276,37923198
4,bkg_2018_WJets_WJetsLNu_HT200to400,1,70951,509989305
5,bkg_2018_WJets_WJetsLNu_HT200to400,1,70328,505510511
6,bkg_2018_WJets_WJetsLNu_HT200to400,1,33642,241813184
7,bkg_2018_WJets_WJetsLNu_HT200to400,1,8728,62729878
8,bkg_2018_WJets_WJetsLNu_HT200to400,1,9087,65314190
9,bkg_2018_WJets_WJetsLNu_HT200to400,1,25548,183637308
10,bkg_2018_WJets_WJetsLNu_HT200to400,1,48806,350812496
0,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,7429,61868567
1,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,528,4396928
2,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,3989,33213611
0,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,4276,35602475
1,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,3619,30134788
2,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,546,4546088
3,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,2241,18656006
4,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,2188,18218646
5,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,9010,75032163
0,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,5994,49915071
1,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,4268,35543466
2,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,7120,59291049
3,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,7902,65806158
4,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,9725,80986262
5,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,9828,81844053
6,bkg_2018_WJets_WJetsLNu_HT1200to2500,1,6110,50877132
0,bkg_2018_TTbar_TTToSemiLeptonic,1,71353,71352956
1,bkg_2018_TTbar_TTToSemiLeptonic,1,96012,96011954
2,bkg_2018_TTbar_TTToSemiLeptonic,1,112104,112103578
3,bkg_2018_TTbar_TTToSemiLeptonic,1,291343,291342643
4,bkg_2018_TTbar_TTToSemiLeptonic,1,57954,57953026
5,bkg_2018_TTbar_TTToSemiLeptonic,1,75803,75802536
6,bkg_2018_TTbar_TTToSemiLeptonic,1,78257,78256963
7,bkg_2018_TTbar_TTToSemiLeptonic,1,190004,190003330
8,bkg_2018_TTbar_TTToSemiLeptonic,1,106250,106249705
0,bkg_2018_TTbar_TTToSemiLeptonic,1,45683,45682242
1,bkg_2018_TTbar_TTToSemiLeptonic,1,203128,203127811
2,bkg_2018_TTbar_TTToSemiLeptonic,1,474573,474572687
3,bkg_2018_TTbar_TTToSemiLeptonic,1,25488,25487530
4,bkg_2018_TTbar_TTToSemiLeptonic,1,251638,251637528
5,bkg_2018_TTbar_TTToSemiLeptonic,1,43263,43262056
6,bkg_2018_TTbar_TTToSemiLeptonic,1,54751,54750451
7,bkg_2018_TTbar_TTToSemiLeptonic,1,24335,24334576
8,bkg_2018_TTbar_TTToSemiLeptonic,1,154812,154811596
9,bkg_2018_TTbar_TTToSemiLeptonic,1,48295,48294010
10,bkg_2018_TTbar_TTToSemiLeptonic,1,22525,22524096
11,bkg_2018_TTbar_TTToSemiLeptonic,1,22849,22848411
12,bkg_2018_TTbar_TTToSemiLeptonic,1,146259,146258750
13,bkg_2018_TTbar_TTToSemiLeptonic,1,387440,387439007
0,bkg_2018_TTbar_TTToSemiLeptonic,1,222790,222789581
1,bkg_2018_TTbar_TTToSemiLeptonic,1,390157,390156819
2,bkg_2018_TTbar_TTToSemiLeptonic,1,279692,279691361
3,bkg_2018_TTbar_TTToSemiLeptonic,1,2428,2427141
4,bkg_2018_TTbar_TTToSemiLeptonic,1,120921,120920051
5,bkg_2018_TTbar_TTToSemiLeptonic,1,122393,122392291
6,bkg_2018_TTbar_TTToSemiLeptonic,1,152198,152197293
7,bkg_2018_TTbar_TTToSemiLeptonic,1,234094,234093945
8,bkg_2018_TTbar_TTToSemiLeptonic,1,238247,238246018
9,bkg_2018_TTbar_TTToSemiLeptonic,1,161150,161149684
10,bkg_2018_TTbar_TTToSemiLeptonic,1,4862,4861354
11,bkg_2018_TTbar_TTToSemiLeptonic,1,340825,340824859
12,bkg_2018_TTbar_TTToSemiLeptonic,1,294138,294137916
13,bkg_2018_TTbar_TTToSemiLeptonic,1,221471,221470421
14,bkg_2018_TTbar_TTToSemiLeptonic,1,241287,241286560
15,bkg_2018_TTbar_TTToSemiLeptonic,1,193607,193606142
0,bkg_2018_TTbar_TTToSemiLeptonic,1,74665,74664371
1,bkg_2018_TTbar_TTToSemiLeptonic,1,484805,484804920
2,bkg_2018_TTbar_TTToSemiLeptonic,1,141480,141479644
3,bkg_2018_TTbar_TTToSemiLeptonic,1,299884,299883026
4,bkg_2018_TTbar_TTToSemiLeptonic,1,266413,266412769
5,bkg_2018_TTbar_TTToSemiLeptonic,1,405802,405801818
6,bkg_2018_TTbar_TTToSemiLeptonic,1,248626,248625207
7,bkg_2018_TTbar_TTToSemiLeptonic,1,495818,495817577
8,bkg_2018_TTbar_TTToSemiLeptonic,1,190416,190415953
