,dataset,runNum,LS,eventNum
0,data_2018_Data_MET_UL18_MET_Run2018D,324293,2166,3783605874
1,data_2018_Data_MET_UL18_MET_Run2018D,324293,1963,3515625468
2,data_2018_Data_MET_UL18_MET_Run2018D,324293,1926,3463272340
3,data_2018_Data_MET_UL18_MET_Run2018D,324315,97,181867527
4,data_2018_Data_MET_UL18_MET_Run2018D,324315,126,240866426
5,data_2018_Data_MET_UL18_MET_Run2018D,324980,1975,3568119541
0,data_2018_Data_MET_UL18_MET_Run2018D,321908,132,155329612
1,data_2018_Data_MET_UL18_MET_Run2018D,321305,186,291038267
2,data_2018_Data_MET_UL18_MET_Run2018D,322022,396,657225960
3,data_2018_Data_MET_UL18_MET_Run2018D,321414,291,494712382
4,data_2018_Data_MET_UL18_MET_Run2018D,322068,475,804955744
5,data_2018_Data_MET_UL18_MET_Run2018D,321431,109,150643136
6,data_2018_Data_MET_UL18_MET_Run2018D,321457,915,1467875735
7,data_2018_Data_MET_UL18_MET_Run2018D,321760,4,3077475
0,data_2018_Data_MET_UL18_MET_Run2018D,323525,315,537257306
1,data_2018_Data_MET_UL18_MET_Run2018D,322625,178,257154943
2,data_2018_Data_MET_UL18_MET_Run2018D,324022,219,392979072
3,data_2018_Data_MET_UL18_MET_Run2018D,323755,405,705881999
4,data_2018_Data_MET_UL18_MET_Run2018D,321295,519,823375593
0,data_2018_Data_MET_UL18_MET_Run2018D,320853,166,209229606
1,data_2018_Data_MET_UL18_MET_Run2018D,321295,733,1170557152
2,data_2018_Data_MET_UL18_MET_Run2018D,321007,92,149860238
3,data_2018_Data_MET_UL18_MET_Run2018D,320858,36,59685439
4,data_2018_Data_MET_UL18_MET_Run2018D,320916,14,10780252
5,data_2018_Data_MET_UL18_MET_Run2018D,321832,348,587316749
6,data_2018_Data_MET_UL18_MET_Run2018D,320917,500,831034435
0,data_2018_Data_MET_UL18_MET_Run2018D,323727,874,1568183863
1,data_2018_Data_MET_UL18_MET_Run2018D,321961,306,568174013
0,data_2018_Data_MET_UL18_MET_Run2018D,324293,1562,2881332024
0,data_2018_Data_MET_UL18_MET_Run2018D,322431,373,648688039
1,data_2018_Data_MET_UL18_MET_Run2018D,323702,97,159980225
2,data_2018_Data_MET_UL18_MET_Run2018D,324237,168,258247648
0,data_2018_Data_MET_UL18_MET_Run2018C,320023,96,131758350
0,data_2018_Data_MET_UL18_MET_Run2018D,320917,1771,2799853832
1,data_2018_Data_MET_UL18_MET_Run2018D,322348,886,1599199887
2,data_2018_Data_MET_UL18_MET_Run2018D,321305,1764,2747892835
3,data_2018_Data_MET_UL18_MET_Run2018D,323778,76,147751366
0,data_2018_Data_MET_UL18_MET_Run2018B,317649,436,670813655
1,data_2018_Data_MET_UL18_MET_Run2018B,317089,36,42738172
2,data_2018_Data_MET_UL18_MET_Run2018B,318874,184,299848545
3,data_2018_Data_MET_UL18_MET_Run2018B,317392,2,2009212
0,data_2018_Data_MET_UL18_MET_Run2018A,316993,158,171875926
1,data_2018_Data_MET_UL18_MET_Run2018A,316702,110,156681020
2,data_2018_Data_MET_UL18_MET_Run2018A,315270,170,145961595
0,data_2018_Data_MET_UL18_MET_Run2018C,319993,659,1031679176
1,data_2018_Data_MET_UL18_MET_Run2018C,319528,46,69568546
2,data_2018_Data_MET_UL18_MET_Run2018C,319756,829,1348281036
3,data_2018_Data_MET_UL18_MET_Run2018C,320038,67,53026025
4,data_2018_Data_MET_UL18_MET_Run2018C,320064,80,128645778
5,data_2018_Data_MET_UL18_MET_Run2018C,319915,86,133205102
6,data_2018_Data_MET_UL18_MET_Run2018C,320065,355,572214918
7,data_2018_Data_MET_UL18_MET_Run2018C,319579,1572,2412612431
8,data_2018_Data_MET_UL18_MET_Run2018C,319625,124,184695273
0,data_2018_Data_MET_UL18_MET_Run2018A,316380,523,389938160
1,data_2018_Data_MET_UL18_MET_Run2018A,315770,143,175861902
2,data_2018_Data_MET_UL18_MET_Run2018A,315713,420,548584641
0,data_2018_Data_MET_UL18_MET_Run2018A,316615,157,97138546
1,data_2018_Data_MET_UL18_MET_Run2018A,315339,497,330432978
0,data_2018_Data_MET_UL18_MET_Run2018A,316613,227,131865051
1,data_2018_Data_MET_UL18_MET_Run2018A,315646,130,96065239
2,data_2018_Data_MET_UL18_MET_Run2018A,316240,411,559117824
3,data_2018_Data_MET_UL18_MET_Run2018A,316218,261,376374601
4,data_2018_Data_MET_UL18_MET_Run2018A,316766,963,1323622444
5,data_2018_Data_MET_UL18_MET_Run2018A,316879,12,11263951
6,data_2018_Data_MET_UL18_MET_Run2018A,315840,861,975335321
7,data_2018_Data_MET_UL18_MET_Run2018A,315790,55,39303882
8,data_2018_Data_MET_UL18_MET_Run2018A,315790,136,99975075
