,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.004011845679950761,1.8099277568437995e-05,6.805718589065551e-06,4.529703786453223e-06,4.529703786453223e-06,4.529703786453223e-06,2.2659644055213504e-06,2.2659644055213504e-06,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.0048751390699744036,2.7633663040365614e-05,1.0356216577717298e-05,6.9209263330534815e-06,6.9209263330534815e-06,6.9209263330534815e-06,3.464026018447495e-06,3.464026018447495e-06,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006618594149625248,3.398370743807388e-05,1.2514270261746788e-05,1.0733009805289295e-05,1.0733009805289295e-05,1.0733009805289295e-05,7.162060486657879e-06,5.37099185497167e-06,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005590821375733521,2.019997428495107e-05,9.320328754080047e-06,9.320328754080047e-06,9.320328754080047e-06,9.320328754080047e-06,4.657829370634384e-06,4.657829370634384e-06,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009596320516126619,5.928129798174671e-05,9.556362772825175e-06,5.727264048816983e-06,5.727264048816983e-06,5.727264048816983e-06,3.821106542677192e-06,3.821106542677192e-06,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.00838707740204745,3.246526526075101e-05,1.4984429445337646e-05,1.2497316156859563e-05,1.2497316156859563e-05,9.980749807098622e-06,7.49048301045077e-06,7.49048301045077e-06,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.012458557745550226,8.458127975562285e-05,4.728988388583844e-05,4.4801729967780626e-05,4.4801729967780626e-05,4.4801729967780626e-05,3.234436720613663e-05,2.7383501057954468e-05,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010848149608519684,4.847155497358064e-05,1.5536276030233767e-05,1.5536276030233767e-05,1.3599406951741234e-05,1.3599406951741234e-05,7.763022231633204e-06,5.81243306511197e-06,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016848151349537672,0.00010356984495976913,3.0009871820713712e-05,2.72720494564885e-05,2.72720494564885e-05,2.72720494564885e-05,2.1815474902374133e-05,2.1815474902374133e-05,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014399855742523605,8.741781946622069e-05,3.81399843046878e-05,3.589459266821452e-05,3.589459266821452e-05,3.589459266821452e-05,2.244831282865577e-05,2.0204652698464204e-05,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.02142382529182928,0.00011234774319169636,1.7314845821348342e-05,1.7314845821348342e-05,1.7314845821348342e-05,1.7314845821348342e-05,8.649081355904457e-06,8.649081355904457e-06,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.01859775632679067,6.732563187044712e-05,1.9223860996093627e-05,1.9223860996093627e-05,1.9223860996093627e-05,1.9223860996093627e-05,9.610434607483038e-06,7.2119789766337625e-06,50.0,0.1,10.0
