,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2317.3820536823337,10.454774277914952,3.9312205351094986,2.6165149660872418,2.6165149660872418,2.6165149660872418,1.308900108964955,1.308900108964955,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,92.15493613819022,0.5223601657711339,0.19576394922367116,0.1308265292712996,0.1308265292712996,0.1308265292712996,0.06548061335873528,0.06548061335873528,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,61.54058434688426,0.3159851120545047,0.11635937892132871,0.09979697807210927,0.09979697807210927,0.09979697807210927,0.06659380791638543,0.049940209326179576,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1625.6104954696475,5.873428607174052,2.7100175851839325,2.7100175851839325,2.7100175851839325,2.7100175851839325,1.3543298564098032,1.3543298564098032,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.60812873029157,0.3373418745284522,0.05438074808097808,0.032591155320894453,0.032591155320894453,0.032591155320894453,0.02174411302999065,0.02174411302999065,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1502.3912395989835,5.815557408245983,2.6841859744335492,2.2386652003451273,2.2386652003451273,1.7878684499982844,1.3417827827031887,1.3417827827031887,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9505.83416611545,64.53520827496553,36.08200910046689,34.18355672677414,34.18355672677414,34.18355672677414,24.67863432902513,20.893511533269855,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13998.620121487435,62.548444597413855,20.048251001166925,20.048251001166925,17.54888517074193,17.54888517074193,10.017524014413365,7.50045357008847,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.807781222962145,0.18938321829025076,0.054874718679866014,0.04986845830895014,0.04986845830895014,0.04986845830895014,0.03989080844088015,0.03989080844088015,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,834.9128920899427,5.06854136428646,2.211380806132386,2.081191555725775,2.081191555725775,2.081191555725775,1.3015676074424416,1.1714787508830464,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.479070052884262,0.0654409442979975,0.010085648618592093,0.010085648618592093,0.010085648618592093,0.010085648618592093,0.005037965473635128,0.005037965473635128,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,344.5802382282911,1.247412959990763,0.35618073950991463,0.35618073950991463,0.35618073950991463,0.35618073950991463,0.1780626538134334,0.13362393775887974,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,218.2838774190764,1.2788907286859612,0.4258240342570892,0.4258240342570892,0.4258240342570892,0.4258240342570892,0.3193041326811078,0.3193041326811078,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.843154893896254,0.04023775996357417,0.01594529288576211,0.015184735366134005,0.015184735366134005,0.015184735366134005,0.008348329131656552,0.00607256837053478,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,157.41497850924654,0.861662366691127,0.28732951849289096,0.28732951849289096,0.28732951849289096,0.28732951849289096,0.13410325320189603,0.1149705512589615,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,118.79073373664063,0.766452581643347,0.3090395321672944,0.3090395321672944,0.3090395321672944,0.3090395321672944,0.13601380333130408,0.13601380333130408,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.388476448584873,0.0379863747968368,0.015041063524583632,0.0142442974358614,0.0142442974358614,0.0142442974358614,0.007911917634638187,0.006331344975203636,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.457686065143628,0.02529927801679953,0.009436095066754994,0.009286806509929855,0.009286806509929855,0.009286806509929855,0.007191156698274252,0.005393316928988088,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,91.59222330266915,0.6384943269616377,0.23619905076439351,0.2332888224873347,0.2332888224873347,0.2332888224873347,0.1398846980580787,0.09907241050283774,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.737596545115538,0.01896044361375901,0.008184670895211415,0.0075837959533606334,0.0075837959533606334,0.0075837959533606334,0.004592339605233444,0.0031958122245516916,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,72.71480980766736,0.46378576361645796,0.16990381323396522,0.16720215326022328,0.16449933084204163,0.16449933084204163,0.10787290659529543,0.09440128830668229,100.0,0.1,10.0
