,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1620.1784519502303,5.06305911282392,2.5301681778414378,2.5301681778414378,2.5301681778414378,2.5301681778414378,1.8968146419310312,1.262626562307873,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33765.06921738768,123.8513096654193,35.30289978865339,35.30289978865339,35.30289978865339,35.30289978865339,35.30289978865339,35.30289978865339,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22229.424480690275,140.91765092236992,65.65874973791894,56.29300333073404,56.29300333073404,56.29300333073404,42.21505238408524,42.21505238408524,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,937.0398565433222,7.484515626305318,2.705358392696653,1.8727127696668413,1.8727127696668413,1.8727127696668413,1.0379280899996195,1.0379280899996195,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17929.361593492533,134.0983765203444,38.372371835159036,38.372371835159036,38.372371835159036,38.372371835159036,26.8460192476073,23.017904521682475,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,734.2811552959238,4.995154964973412,1.6184075977436498,1.6184075977436498,1.6184075977436498,1.6184075977436498,0.9446527287600698,0.9446527287600698,20.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20174.85110589185,135.17524333424421,38.55285995048843,35.34980301445757,35.34980301445757,35.34980301445757,22.52516398717869,19.31526034219127,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38528.39999214091,260.3705093975439,90.54775051182938,90.54775051182938,84.87402403580175,84.87402403580175,73.56029665711749,73.56029665711749,30.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9916.801948033773,67.03614855743093,21.027932514695966,19.716395057114596,19.716395057114596,19.716395057114596,15.787742026722926,14.473933255376862,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,403.5456031210444,3.229067025504861,1.493911054157164,1.3147860226778005,1.3147860226778005,1.3147860226778005,0.5381897139169203,0.47839758942999305,40.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4184.654042712488,29.97420967666126,9.996654823864844,9.522091161126385,9.522091161126385,9.522091161126385,5.236788904286759,4.758940727384044,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,167.4818251469007,1.0322553369589784,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2725.2304064523964,24.452548010754033,9.546322500307095,9.247238829530746,9.247238829530746,9.247238829530746,6.26294402554908,4.77168410537662,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1964.273334885629,14.049289561334794,5.580124959086825,5.399851585704658,5.399851585704658,5.399851585704658,4.140317638864364,3.4218016786872214,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,74.71318892044536,0.5989259527307458,0.24336582095027107,0.23712969114649088,0.23712969114649088,0.23712969114649088,0.1371939124906078,0.1184716345688769,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1457.7156063883403,9.228446640037822,2.8390549518493553,2.7208214746989112,2.7208214746989112,2.7208214746989112,1.893340957218362,1.7749504528584321,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1156.9314549201938,8.26060140316909,3.622339545879639,3.4319875384722147,3.4319875384722147,3.4319875384722147,2.033272620211109,1.8427921513790109,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.16909636875993,0.3501768401232145,0.1338538295847272,0.12763025495426997,0.12763025495426997,0.12763025495426997,0.08249210277403654,0.07315765488866849,90.0,0.2,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.02457396365492,0.2920753670601151,0.10772748960678619,0.09529050009852999,0.09529050009852999,0.09529050009852999,0.06006801136113543,0.05383938851217139,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,928.4856647707716,6.965150625584358,2.955623046450151,2.5325207202742095,2.5325207202742095,2.5325207202742095,1.687741590071628,1.4756552483516743,100.0,0.1,1.0
