,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinearFromPV < 0
ZGamma,0.00032470326374004914,2.3692262829404517e-06,2.527577161494251e-06,2.527577161494251e-06,2.3316884097360338e-06,1.030157082333425e-06,8.610323103644607e-07,8.610323103644607e-07,8.610323103644607e-07,6.25203335243898e-07,3.753764835052591e-08
TTX,0.00136440404821353,1.8843104801939346e-05,1.8981941982553317e-05,1.8456209230425307e-05,1.7196248848558644e-05,4.301054202850485e-06,4.2204132883811345e-06,4.198752448719105e-06,4.142481230258618e-06,-5.381985458854571e-07,3.728036814889937e-07
ZJets,0.0024216620193762486,1.0803357526678601e-05,1.0172043053549851e-05,1.0104230422690992e-05,9.603023305112928e-06,5.594649049380191e-06,5.238393516197827e-06,5.193730738058461e-06,5.1431022443855135e-06,3.4943513885030383e-06,1.6658876726991395e-06
QCD,2.482419777063774e-06,2.9391351498055493e-08,1.3322110258070832e-08,1.331112630210932e-08,1.2647301347798697e-08,3.146781798026881e-09,3.146781798026881e-09,3.146781798026881e-09,3.08527593385527e-09,0.0,0.0
TTbar,0.00044364699305655047,5.724921627575542e-06,5.313236364845626e-06,5.283113493904872e-06,5.053541466155457e-06,1.813206888178302e-06,1.6996098563889107e-06,1.6749223408659e-06,1.6647406280936585e-06,1.0470015297455874e-06,4.044009938460682e-07
SingleTop,0.00023564103448618862,1.760062142826091e-06,1.6093914690307522e-06,1.6031349168147785e-06,1.5087127380555885e-06,5.849210073120132e-07,5.450437419117957e-07,5.450437419117957e-07,5.402877453381465e-07,2.9179431064940614e-07,6.328876552112937e-08
DY-M50,0.0003939941770486602,3.8517784469385964e-06,3.5694735371503944e-06,3.5368550476692484e-06,3.344201075052646e-06,1.6965660831837544e-06,1.6064348258257635e-06,1.605466926411912e-06,1.5964467092443019e-06,1.032708498421555e-06,4.2294298789487065e-07
WJets,0.0010132927439486308,4.2136034182386525e-06,3.96224329824163e-06,3.938727169977505e-06,3.70129675056671e-06,2.04049614723467e-06,1.932200852128105e-06,1.917342760533939e-06,1.9031949065437365e-06,1.1774062198569072e-06,5.174429460197642e-07
Multiboson,0.0006591377388398073,3.270862158955912e-06,3.019172447251695e-06,3.019172447251695e-06,2.7863433661603377e-06,1.3398589852770978e-06,1.2352336669062126e-06,1.1901812294242424e-06,1.1585920925411248e-06,7.5525434919162e-07,3.1689416333011525e-07
DY-M4to50,2.6456099600495896e-05,3.0007940472556507e-07,2.893594293192081e-07,2.8900962814738563e-07,2.7854907781217744e-07,1.4776599474593674e-07,1.466714031801326e-07,1.466714031801326e-07,1.449223973210205e-07,7.171562460720321e-08,2.052611144825716e-08
Total,1.4681914291403451e-05,9.184545713417663e-08,7.211596753672656e-08,7.175183947759936e-08,6.786030512647946e-08,3.1259505723416225e-08,2.9629695762690098e-08,2.9394713741632228e-08,2.9127247582196664e-08,1.645404065781372e-08,7.1105523248755415e-09
