,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,0.0003246784514825822,2.213688192513206e-06,7.270422965805088e-07,7.243488364992673e-07,5.633045132432365e-07,5.633045132432365e-07,4.909226905806871e-07,2.923407064336653e-07
TTX,0.0013833511831680746,1.4104736407408097e-05,3.655311219875462e-06,3.0674905976748595e-06,2.520365074844144e-06,2.432739981343127e-06,2.009515304591608e-06,1.3480175123045023e-06
DY-M50,0.0003940281004457437,4.01377511370177e-06,2.266139139388604e-06,2.1924846513095055e-06,2.1625999284863003e-06,2.116844493329243e-06,1.4445263272423406e-06,6.485795379343393e-07
TTbar,0.0004435925093703917,5.2214590125336205e-06,1.8078354066428442e-06,1.6856547013444893e-06,1.6511204835975767e-06,1.6410568859774346e-06,1.066492189922892e-06,5.290091939966943e-07
SingleTop,0.00023554460795804577,1.791501020453496e-06,6.504909710454757e-07,6.077208264303977e-07,5.915815352960487e-07,5.892275920130898e-07,4.3841738542245585e-07,2.134965134232792e-07
WJets,0.0010131776773887344,2.9211836579879026e-06,1.6534910727252941e-06,1.5524512582901683e-06,1.5381863808746658e-06,1.5177185011375907e-06,9.89149853905823e-07,4.93430663125564e-07
DY-M4to50,2.6421883398161493e-05,2.93452159735469e-07,1.6094356596337247e-07,1.5948452769513853e-07,1.5948452769513853e-07,1.5328643083680242e-07,9.11291858694685e-08,5.2299032774671585e-08
Multiboson,0.00065832021677796,3.367133655695309e-06,1.884367688871896e-06,1.7921001162304107e-06,1.7806166727876941e-06,1.6954200197127786e-06,1.048127472454106e-06,4.855078735538793e-07
QCD,2.4876471605028946e-06,2.7014858299192822e-09,1.0711461291487878e-09,1.0711461291487878e-09,1.0711461291487878e-09,1.0177887480115172e-09,0.0,0.0
ZJets,0.0024215919063650454,4.864798028369489e-06,2.8858376990225785e-06,2.6924232924590407e-06,2.638800910220895e-06,2.6078628267222486e-06,1.7582126500563985e-06,7.872665233052026e-07
Total,1.6957574430746622e-05,5.4602435105719815e-08,2.753885271330997e-08,2.5929907959465667e-08,2.556840947010765e-08,2.5193296199624064e-08,1.5919558251771707e-08,7.78740654665569e-09
