,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,6506,41,21,20,19,19,14,6
TTX,141390,2417,706,659,624,578,342,173
DY-M50,270888,4740,1764,1742,1740,1593,751,368
TTbar,516063,6244,2142,1990,1948,1936,1258,629
SingleTop,46523,213,78,71,70,69,41,21
WJets,1177020,4119,1881,1823,1819,1756,871,430
DY-M4to50,25243,377,182,180,180,167,66,25
Multiboson,25187,201,114,108,104,97,53,27
QCD,31490,49,16,16,16,14,0,0
ZJets,738994,1930,1113,1066,1062,1039,562,261
Total,2979304,20331,8017,7675,7582,7268,3958,1940
