,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,1665.1257291312033,11.352983694470502,3.7286639401992763,3.7148504282116974,2.8889285200602868,2.8889285200602868,2.5177156025215055,1.4992803795024945
TTX,440.91009551696607,4.495547300136545,1.1650430047766935,0.9776892439711695,0.8033060725348306,0.7753776702496369,0.6404849294025159,0.42964833322191054
DY-M50,5356.457738738559,54.56366372099521,30.806124021370017,29.80485748170494,29.39860154550311,28.776597545130763,19.637036586009316,8.816855653761273
TTbar,22070.514885911998,259.7886267869304,89.94709651481965,83.86811407463836,82.1498975791922,81.64919304431079,53.06228409224161,26.320339149684592
SingleTop,3663.5070144841093,27.86383696822229,10.117311773522509,9.452092874367123,9.201072879504748,9.164461182877186,6.818857713155676,3.320585350157524
WJets,214692.23521238868,618.9984866382906,350.3745712420795,328.9642459944584,325.94152008397634,321.60437868333236,209.60074213475772,104.5579016918207
DY-M4to50,463.0340623781908,5.142644208528403,2.820478466226149,2.7949093420904862,2.7949093420904862,2.6862899100810114,1.597006409364948,0.9165218557353622
Multiboson,4588.161421356313,23.467231213442037,13.13309680211213,12.490038140921662,12.410004305038463,11.81622640348748,7.304922302575459,3.383746144250611
QCD,53432.268403986614,58.02531735434418,23.007188632410053,23.007188632410053,23.007188632410053,21.861123404379843,0.0,0.0
ZJets,63745.58226147538,128.0601335376873,75.96631123220291,70.87490258826773,69.46335592384693,68.648946963571,46.282897139994574,20.723872916468345
Total,370117.7968253681,1191.7584714230475,601.0658856297189,565.9488888010417,558.0587848841575,549.8715233274804,347.46194691002336,169.9687514746028
