,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.99,Vtx cos_collinear_fromPV_refit > -0.98,Vtx cos_collinear_fromPV_refit > -0.97,Vtx cos_collinear_fromPV_refit > -0.96,Vtx cos_collinear_fromPV_refit > -0.95,Vtx cos_collinear_fromPV_refit > -0.9,Vtx cos_collinear_fromPV_refit > -0.85,Vtx cos_collinear_fromPV_refit > -0.8,Vtx cos_collinear_fromPV_refit > -0.75,Vtx cos_collinear_fromPV_refit > -0.7
SingleTop,0.00023564103448618862,2.9399038805154616e-06,2.6332351217958792e-06,2.626978598146522e-06,2.4941796633484755e-06,9.474476635253211e-07,8.843282467372141e-07,8.518644805413849e-07,8.314180202920657e-07,4.132613651834634e-07,1.472565450926034e-07,1.2010469700912775e-07,1.1772669962646847e-07,1.0203623964013744e-07,9.965824255886662e-08,9.965824255886662e-08,8.396778072786609e-08,6.545048105904033e-08,6.265476893097213e-08,6.265476893097213e-08,6.02767712469244e-08
ZGamma,0.0003247032637400491,3.467361707884525e-06,3.6551697608578273e-06,3.6551697608578273e-06,3.4271303745988646e-06,1.808324272906044e-06,1.6391995540272783e-06,1.6391995540272783e-06,1.6391995540272783e-06,1.2074820894816877e-06,2.3342621507249985e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07,1.9858202680321552e-07
DY-M4to50,2.6456099600495896e-05,3.9323498014548214e-07,3.792764180920497e-07,3.7857681574840483e-07,3.5260966397194095e-07,1.9176546171756396e-07,1.906708701517598e-07,1.906708701517598e-07,1.8787246077718042e-07,8.694953042778716e-08,2.59538812269409e-08,1.4048938154106146e-08,1.1555141901012327e-08,1.0110749163385788e-08,9.016157597581671e-09,9.016157597581671e-09,7.57176485995513e-09,7.57176485995513e-09,6.4771732941510155e-09,6.4771732941510155e-09,6.4771732941510155e-09
ZJets,0.0024216620193762486,2.015252334008307e-05,1.8881287663778083e-05,1.8779190982804113e-05,1.7866732847508608e-05,1.0599597341705176e-05,1.0016081469303338e-05,9.865181836636007e-06,9.770226122379067e-06,6.837696232545506e-06,3.350006486640476e-06,2.7092303119541074e-06,2.5233707098832413e-06,2.3765336280529447e-06,2.2760103863117383e-06,2.170441132917818e-06,1.9246003366306555e-06,1.7502231599059399e-06,1.607088766235324e-06,1.42033345008873e-06,1.295372396582147e-06
Multiboson,0.0006591377388398073,5.517562484724479e-06,5.0728093907556215e-06,4.997970512829193e-06,4.711765784229482e-06,2.313214844542474e-06,2.163537088689619e-06,2.079952735570792e-06,2.048363598687674e-06,1.3270230711384362e-06,5.079269717401026e-07,2.7983723237334466e-07,2.7331671259257885e-07,2.370097523673556e-07,2.370097523673556e-07,2.370097523673556e-07,1.9195731488538544e-07,1.62170874440928e-07,1.3239519671078054e-07,1.2385229378827826e-07,1.2385229378827826e-07
QCD,2.482419777063774e-06,4.087783731932612e-08,2.447649087590227e-08,2.446550691994076e-08,2.349043984469851e-08,9.040719065114423e-09,8.655184363850877e-09,8.655184363850877e-09,8.157621890205624e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WJets,0.0010132927439486308,8.002563961414913e-06,7.4813965593474664e-06,7.437758419879055e-06,7.023610229523127e-06,3.880231670114079e-06,3.6894540734197575e-06,3.6641017682912237e-06,3.639588562553182e-06,2.2604123909258454e-06,1.0157078852182293e-06,7.824240705909503e-07,7.307924313978588e-07,6.974187162132991e-07,6.753478318318254e-07,6.644028866476677e-07,5.543111513198938e-07,5.065671873922937e-07,4.5924821305587825e-07,4.184437259046732e-07,3.8018900486263276e-07
DY-M50,0.0003939941770486602,5.941743133694993e-06,5.460615705355219e-06,5.404808488034859e-06,5.146405573875589e-06,2.5618206814332274e-06,2.409275698179936e-06,2.4051636719900785e-06,2.3882530559401677e-06,1.4053024027192004e-06,6.053430556203981e-07,4.435220228086636e-07,4.228548287838318e-07,3.91692981264785e-07,3.8326163466062313e-07,3.7771151322842334e-07,3.3332803863285475e-07,2.96390723694912e-07,2.774285787766382e-07,2.617410792066122e-07,2.1699322267406302e-07
TTX,0.00136440404821353,3.262588374742809e-05,3.0260446897552095e-05,2.971959456344348e-05,2.7163593593779996e-05,7.13842002637394e-06,7.174742458278328e-06,7.1433411743559295e-06,7.06514954058835e-06,3.2683235884157456e-07,1.5897593327529408e-06,1.913941114762212e-06,1.4230881895335181e-06,1.8354804530226784e-06,1.830610305475035e-06,1.8157402498957702e-06,1.7521591304928998e-06,1.7226785647575632e-06,1.6934481381859177e-06,1.671277576645735e-06,1.204515896056733e-06
TTbar,0.0004436469930565506,9.622935561886588e-06,8.933583814437256e-06,8.879218721764464e-06,8.489813190225934e-06,3.0441217133405963e-06,2.857779670228009e-06,2.816816131103311e-06,2.7961048318106034e-06,1.7488109796000676e-06,7.580048246674041e-07,5.994448322396605e-07,5.543196364270663e-07,5.290173046770134e-07,5.007455958314511e-07,4.896754045895827e-07,4.2036605474719585e-07,3.737747102992984e-07,3.3347010271490415e-07,2.987191455624049e-07,2.6192439564942176e-07
