,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.99,Vtx cos_collinear_fromPV_refit > -0.98,Vtx cos_collinear_fromPV_refit > -0.97,Vtx cos_collinear_fromPV_refit > -0.96,Vtx cos_collinear_fromPV_refit > -0.95,Vtx cos_collinear_fromPV_refit > -0.9,Vtx cos_collinear_fromPV_refit > -0.85,Vtx cos_collinear_fromPV_refit > -0.8,Vtx cos_collinear_fromPV_refit > -0.75,Vtx cos_collinear_fromPV_refit > -0.7
SingleTop,3665.006769733427,45.725345112106396,40.95561950288152,40.85830961973705,38.79284170957663,14.735982246725131,13.75426405687566,13.249343837278971,12.931332946712997,6.427597401994283,2.2903321394287115,1.868030025309685,1.8310442069234334,1.5870050386371255,1.550019224938473,1.550019224938473,1.3059800279613802,1.0179740412646672,0.9744913605085855,0.9744913605085855,0.9375055374347347
ZGamma,1665.2529797328907,17.78249577586324,18.745676485010666,18.745676485010666,17.57616786015061,9.274059487713998,8.406696964728015,8.406696964728015,8.406696964728015,6.192617605141334,1.1971351803486872,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156,1.0184354417829156
DY-M4to50,376.9379586129626,5.602684935026044,5.40380785317931,5.393840145042567,5.023868557037591,2.732212335295861,2.71661694835071,2.71661694835071,2.67674611580374,1.2388288144028394,0.36978251350335184,0.200164731326808,0.16463392810817257,0.14405468709465102,0.12845930014950072,0.12845930014950072,0.10788005913597914,0.10788005913597914,0.09228467219082885,0.09228467219082885,0.09228467219082885
ZJets,51827.177158302235,431.29404061196215,404.0877021226701,401.90268095548197,382.3747166693365,226.84718381003466,214.3590743002523,211.12959721682887,209.09740338234195,146.33689225140904,71.69513263015024,57.9815672942065,54.00389475112412,50.86136231161092,48.71001508951167,46.45067569601296,41.189316183427195,37.45738465947151,34.39409526613002,30.397253106596423,27.722900283553887
Multiboson,4593.859139715373,38.45464059456982,35.354934804332736,34.833345395761604,32.838642117776374,16.121946187501393,15.078767370359149,14.496226390096083,14.276065964383454,9.248684614376238,3.5399960037841254,1.9503250258947349,1.904880276450877,1.65183899048309,1.65183899048309,1.65183899048309,1.3378461184358963,1.1302495819119667,0.9227280561036851,0.8631883114376979,0.8631883114376979
QCD,53319.9892353793,878.016629568634,525.7314826772106,525.495557867458,504.5520549047221,194.18595021111344,185.90503563285785,185.90503563285785,175.21787225146005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WJets,177451.7502507543,1401.439998388735,1310.1711442270837,1302.529064213582,1230.00182893954,679.5211999219222,646.1114882228951,641.6716943481078,637.3788468087862,395.8521734747743,177.8746991447955,137.02113391598758,127.97920126834394,122.13466699408042,118.26952823091062,116.35280703565275,97.07311591112352,88.71200801465662,80.42532594157042,73.27948609784524,66.58017117152758
DY-M50,4354.468764761891,65.66882555910928,60.35135012262076,59.73456236578097,56.8786637663176,28.313535549649178,26.627590925357065,26.582144340999534,26.39524627582046,15.531563089395165,6.690320774306752,4.901856188006077,4.673439992846703,4.329035685426689,4.23585147720381,4.174510899537951,3.6839796555339643,3.275744220796614,3.066172423624307,2.892792381851616,2.3982339469512786
TTX,423.5654849394884,10.128376773106758,9.394050744300767,9.226148588427423,8.432663849329167,2.2160505490523437,2.22732648194327,2.2175782698431017,2.1933044652334335,0.10146181165902204,0.49352476166883563,0.5941637284654331,0.44178338513481835,0.5698064068334044,0.5682945186134557,0.5636782597341631,0.5439401420496445,0.5347881975517312,0.5257139062360333,0.5188312788629733,0.37392981961509636
TTbar,22073.22566885131,478.7798217472915,444.4817944309506,441.7769119954652,422.40241761395293,151.45732213596293,142.1860545885806,140.14795344635323,139.11748284621828,87.01039341870786,37.713794559245315,29.824795986763586,27.57963565408546,26.320742688714077,24.914111247142213,24.363324623309612,20.91490517276381,18.59679803734019,16.591481394539393,14.862481240270515,13.031794160295881
Total,319751.23341078317,3372.892859066404,2854.677562970241,2840.496097631747,2698.8738659877395,1325.405442434971,1257.3729154921996,1246.522887395444,1227.6909980214887,667.9402124818602,301.86471770723153,235.3604723377433,219.59694890480043,208.61694824466332,201.04655352073573,196.2537494716014,167.1753987122143,151.85126225391218,138.0107284626862,124.89924389134679,113.01844334478992
