,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.95
SingleTop,0.00023564103448618862,1.760062142826091e-06,1.6093914690307522e-06,1.6031349168147785e-06,1.5087127380555885e-06,5.849210073120132e-07,5.450437419117957e-07,5.450437419117957e-07,5.402877453381464e-07,2.9179431064940614e-07,6.566676290378864e-08,4.175946998565585e-08
DY-M4to50,2.6456099600495896e-05,3.00079404725565e-07,2.8935942931920806e-07,2.8900962814738563e-07,2.7854907781217744e-07,1.4776599474593674e-07,1.4667140318013263e-07,1.4667140318013263e-07,1.449223973210205e-07,7.171562460720321e-08,2.0526111448257165e-08,6.826974465973442e-09
WJets,0.001013292743948631,4.2136034182386525e-06,3.96224329824163e-06,3.9387271699775055e-06,3.7012967505667103e-06,2.0404961472346704e-06,1.9322008521281053e-06,1.9173427605339386e-06,1.903194906543737e-06,1.1774062198569072e-06,5.1821675285853e-07,3.453685513383557e-07
TTX,0.0013833561115585249,1.9005527673178978e-05,1.9122813142289695e-05,1.8604767472816012e-05,1.7323686576419212e-05,4.262450774486679e-06,4.176430415055195e-06,4.1538375229411894e-06,4.097534034232358e-06,-5.048190992247967e-07,8.171761512777378e-07,1.1069906296387862e-06
ZJets,0.002421662019376248,1.08033575266786e-05,1.017204305354985e-05,1.0104230422690989e-05,9.603023305112927e-06,5.594649049380189e-06,5.238393516197828e-06,5.193730738058462e-06,5.143102244385512e-06,3.4943513885030383e-06,1.672907040952794e-06,1.0859968331916945e-06
DY-M50,0.0003939941770486603,3.8517784469385964e-06,3.569473537150394e-06,3.536855047669249e-06,3.344201075052646e-06,1.6965660831837544e-06,1.6064348258257635e-06,1.6054669264119121e-06,1.5964467092443023e-06,1.0327084984215552e-06,4.37689864964492e-07,2.9107714754211047e-07
QCD,2.482419777063774e-06,2.9391351498055493e-08,1.3322110258070832e-08,1.331112630210932e-08,1.2647301347798697e-08,3.14678179802688e-09,3.14678179802688e-09,3.14678179802688e-09,3.08527593385527e-09,0.0,0.0,0.0
Multiboson,0.0006591377388398073,3.2708621589559123e-06,3.0191724472516945e-06,3.0191724472516945e-06,2.7863433661603377e-06,1.3398589852770978e-06,1.2352336669062128e-06,1.1901812294242424e-06,1.1585920925411244e-06,7.552543491916199e-07,2.5496042646438524e-07,1.2203883420876575e-07
ZGamma,0.0003247032637400491,2.3692262829404513e-06,2.5275771614942507e-06,2.5275771614942507e-06,2.3316884097360333e-06,1.0301570823334248e-06,8.610323103644606e-07,8.610323103644606e-07,8.610323103644606e-07,6.252033352438979e-07,3.75376483505259e-08,3.75376483505259e-08
TTbar,0.00044364699305655047,5.724921627575542e-06,5.313236364845626e-06,5.283113493904872e-06,5.053541466155457e-06,1.8132068881783013e-06,1.6996098563889107e-06,1.6749223408659e-06,1.6647406280936585e-06,1.0470015297455874e-06,4.025869103448683e-07,2.5270543973437377e-07
Total,1.6954098071202764e-05,1.0168481147537718e-07,8.139762380481237e-08,8.097543273593222e-08,7.655448259107117e-08,3.61121661507901e-08,3.421231691338366e-08,3.394260418013854e-08,3.363912892748054e-08,1.9321480124085422e-08,8.404554369649455e-09,5.51936468687487e-09
