,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx cos(collinear) > -0.99
ZGamma,1665.2529797328907,11.958152275395998,5.283199593343322,4.415836798082245,4.415836798082245,4.415836798082245,3.2063789718705866,0.19251325055335042,0.19251325055335042
QCD,53319.9892353793,271.65186885469296,67.5898464663941,67.5898464663941,67.5898464663941,66.26875965994672,0.0,0.0,0.0
DY-M4to50,463.633689093944,4.881473024744554,2.5895462408000176,2.5703639148574826,2.5703639148574826,2.5397132123369994,1.256790687380494,0.35971276632669336,0.17639536069617592
TTX,440.9116663235195,5.521510659081103,1.358554213118383,1.331137281427559,1.323936337559367,1.3059909474902327,-0.16089901101487028,0.26045534879213544,0.3765417958476939
Multiboson,4593.859139715373,19.419414463434045,9.338144492043511,8.608958546948458,8.294965674901265,8.074805249188637,5.263743661454837,1.7769461773509518,0.9414389074482828
WJets,214716.6178034127,784.304362697316,432.3809027466339,409.4331419655867,406.2847140377592,403.2867853778589,249.49224478132908,109.81007130205148,86.49627371643783
DY-M50,5355.996580657126,45.46140670703287,23.06329044875396,21.83803704568119,21.82487932342793,21.702257581481383,14.038743485486275,5.950000169288213,4.4398272702706905
TTbar,22073.225668851308,251.43405219728015,90.21434936666779,84.5624392731866,83.33413589263552,82.82755465296854,52.092545206907396,20.030321094129818,16.23263942069321
ZJets,63747.427904711745,252.7883870300077,147.27261032874821,137.89459897312278,136.71890343564363,135.3861673954708,91.98472430504668,44.03732648534136,35.56983335774367
SingleTop,3665.006769733427,23.46553269303729,9.097479376765648,8.47725443178129,8.47725443178129,8.403282766883192,4.538378157402179,1.0213379478393494,0.9675103644074017
Total,370041.92143761134,1670.8861606020228,788.187923273269,746.7216146970684,740.834836313042,734.2111536417077,421.7126502458627,183.43868454167335,145.3929734440983
