,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx log10(dxy/dz) > -1.25
DY-M50,0.0003939941770486602,3.344201075052646e-06,1.6965660831837548e-06,1.606434825825764e-06,1.6054669264119126e-06,1.5964467092443023e-06,1.0327084984215552e-06,4.37689864964492e-07,3.7722240472183316e-08
TTbar,0.00044364699305655047,5.053541466155457e-06,1.813206888178302e-06,1.6996098563889107e-06,1.6749223408659e-06,1.6647406280936585e-06,1.0470015297455874e-06,4.025869103448683e-07,1.774201469039627e-08
TTX,0.0013833561115585249,1.7323686576419212e-05,4.262450774486679e-06,4.176430415055195e-06,4.1538375229411894e-06,4.097534034232358e-06,-5.048190992247967e-07,8.171761512777378e-07,-8.867938164346711e-09
ZJets,0.002421662019376248,9.603023305112927e-06,5.594649049380189e-06,5.238393516197827e-06,5.19373073805846e-06,5.143102244385512e-06,3.4943513885030383e-06,1.672907040952794e-06,1.067505958925536e-08
Multiboson,0.0006591377388398072,2.7863433661603373e-06,1.3398589852770976e-06,1.2352336669062124e-06,1.1901812294242424e-06,1.1585920925411246e-06,7.552543491916199e-07,2.5496042646438524e-07,0.0
DY-M4to50,2.6456099600495896e-05,2.7854907781217744e-07,1.4776599474593674e-07,1.4667140318013263e-07,1.4667140318013263e-07,1.449223973210205e-07,7.171562460720321e-08,2.0526111448257165e-08,1.444392737626541e-09
WJets,0.001013292743948631,3.7012967505667103e-06,2.0404961472346704e-06,1.9322008521281053e-06,1.9173427605339386e-06,1.903194906543737e-06,1.1774062198569072e-06,5.1821675285853e-07,1.254542706495035e-08
ZGamma,0.00032470326374004914,2.3316884097360338e-06,1.030157082333425e-06,8.610323103644607e-07,8.610323103644607e-07,8.610323103644607e-07,6.25203335243898e-07,3.753764835052591e-08,0.0
SingleTop,0.00023564103448618862,1.5087127380555885e-06,5.849210073120132e-07,5.450437419117957e-07,5.450437419117957e-07,5.402877453381465e-07,2.9179431064940614e-07,6.566676290378864e-08,0.0
QCD,2.482419777063774e-06,1.2647301347798697e-08,3.146781798026881e-09,3.146781798026881e-09,3.146781798026881e-09,3.08527593385527e-09,0.0,0.0,0.0
Total,1.6954098071202764e-05,7.655448259107117e-08,3.61121661507901e-08,3.421231691338366e-08,3.394260418013853e-08,3.363912892748054e-08,1.932148012408542e-08,8.404554369649453e-09,1.9964193319994301e-10
