,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx log10(dxy/dz) > -1.25
DY-M50,272468,2700,1104,1084,1083,1052,535,230,11
TTbar,519733,5848,2082,1945,1913,1900,1190,462,20
TTX,141391,1599,479,458,445,431,276,111,6
ZJets,729756,3732,2142,2061,2056,2018,1164,535,8
Multiboson,24553,121,63,60,59,57,36,14,0
DY-M4to50,25923,271,147,146,146,141,71,31,2
WJets,1171204,4667,2158,2098,2093,2029,989,460,15
ZGamma,6511,56,31,27,27,27,14,3,0
SingleTop,46314,252,97,86,86,84,42,11,0
QCD,31603,110,28,28,28,25,0,0,0
Total,2969456,19356,8331,7993,7936,7764,4317,1857,62
