,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx cos(collinear) > -0.99
TTbar,0.00044364699305655047,5.053541466155457e-06,1.8132068881783013e-06,1.6996098563889107e-06,1.6749223408659e-06,1.6647406280936585e-06,1.0470015297455874e-06,4.025869103448683e-07,3.262577829086517e-07
SingleTop,0.00023564103448618862,1.5087127380555885e-06,5.849210073120132e-07,5.450437419117957e-07,5.450437419117957e-07,5.402877453381464e-07,2.9179431064940614e-07,6.566676290378864e-08,6.22059268833634e-08
Multiboson,0.0006591377388398072,2.7863433661603373e-06,1.3398589852770976e-06,1.2352336669062124e-06,1.1901812294242424e-06,1.1585920925411246e-06,7.552543491916199e-07,2.5496042646438524e-07,1.350798737702974e-07
DY-M50,0.0003939941770486603,3.3442010750526468e-06,1.6965660831837548e-06,1.6064348258257637e-06,1.6054669264119123e-06,1.5964467092443023e-06,1.0327084984215552e-06,4.37689864964492e-07,3.2659955346235176e-07
WJets,0.001013292743948631,3.7012967505667103e-06,2.0404961472346704e-06,1.9322008521281053e-06,1.9173427605339386e-06,1.903194906543737e-06,1.1774062198569072e-06,5.1821675285853e-07,4.081940533159241e-07
TTX,0.0013833561115585249,1.7323686576419212e-05,4.262450774486679e-06,4.176430415055195e-06,4.1538375229411894e-06,4.097534034232358e-06,-5.048190992247967e-07,8.171761512777378e-07,1.1813962621731245e-06
DY-M4to50,2.6456099600495896e-05,2.7854907781217744e-07,1.4776599474593674e-07,1.4667140318013263e-07,1.4667140318013263e-07,1.449223973210205e-07,7.171562460720321e-08,2.0526111448257165e-08,1.006556111304895e-08
ZJets,0.002421662019376248,9.603023305112927e-06,5.594649049380189e-06,5.238393516197827e-06,5.19373073805846e-06,5.143102244385512e-06,3.4943513885030383e-06,1.672907040952794e-06,1.3512406274139801e-06
QCD,2.482419777063774e-06,1.2647301347798697e-08,3.146781798026881e-09,3.146781798026881e-09,3.146781798026881e-09,3.08527593385527e-09,0.0,0.0,0.0
ZGamma,0.00032470326374004914,2.3316884097360338e-06,1.030157082333425e-06,8.610323103644607e-07,8.610323103644607e-07,8.610323103644607e-07,6.25203335243898e-07,3.753764835052591e-08,3.753764835052591e-08
Total,1.695409807120276e-05,7.655448259107117e-08,3.61121661507901e-08,3.421231691338367e-08,3.394260418013853e-08,3.363912892748054e-08,1.932148012408542e-08,8.404554369649453e-09,6.661425605667814e-09
