,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
DY-M50,272468,22172,7610,7527,7524,6834,2892,1407
SingleTop,46314,1056,405,354,353,347,211,95
WJets,1171204,20913,9753,9519,9491,9169,4761,2304
ZGamma,6511,165,89,82,81,77,50,21
ZJets,729756,8625,5001,4808,4793,4717,2740,1288
TTbar,519733,33143,11322,10449,10182,10073,6568,3079
Multiboson,24553,1052,552,523,499,469,302,146
TTX,141391,12226,3553,3312,3139,2950,1789,868
QCD,31603,281,77,77,77,65,1,1
DY-M4to50,25923,1634,786,773,773,703,272,107
Total,2969456,101267,39148,37424,36912,35404,19586,9316
