,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx cos(collinear) > -0.99
DY-M50,5355.996580657126,216.83302695048624,115.79423945350715,111.74308988350936,111.29623855636493,108.66641405288476,70.23285074468612,33.71820961476608,22.701022120719685
QCD,53319.9892353793,550.9602272501202,142.57006830013123,142.57006830013123,142.57006830013123,133.71456289987265,0.23592480975256724,0.23592480975256724,0.23592480975256724
WJets,214716.6178034127,3128.562653862789,1788.1711516601601,1699.3899118576987,1685.4407920505378,1668.7794654687336,1091.134441302929,533.9578190203367,347.8863920161035
ZJets,63747.427904711745,589.3704797515024,348.44209443030763,327.10522080886204,323.0589588688771,320.3527708665139,222.92053795228284,105.94034979804115,81.45324044302876
TTX,440.9116663235195,30.342636882886918,8.277799071411179,7.533532353478221,7.1441059627109,7.0759917742644305,3.3536438023664426,1.3087602802264975,1.8099504234636825
TTbar,22073.225668851308,1345.54073450418,462.7226518932414,428.76828915114413,418.39405821534456,414.1370112902673,271.6107306744591,126.81294565705599,92.73896819517128
DY-M4to50,463.633689093944,19.776998246465258,10.334206079455512,10.176201140271626,10.176201140271626,9.655726006915792,4.959758670676047,2.2660275080055214,1.308672647977995
ZGamma,1665.2529797328907,34.97157323886896,21.02737816104475,20.807237822444907,19.981315290871482,17.99970033719696,15.057007710524104,5.86284521605628,3.839787980615575
SingleTop,3665.006769733427,125.48901767941629,47.918566909845374,44.376055522103655,44.125035063926646,43.27546544054989,28.744875487011083,12.11206854915244,8.471431522394425
Multiboson,4593.859139715373,140.86999381541665,74.75560685103952,71.23389360399855,69.25504247815827,67.21183102674031,46.595760713659374,20.626393853867192,13.8402682508996
Total,370041.9214376113,6182.717342182132,3020.0137628101443,2863.703500443643,2831.4418159271945,2790.8689391639396,1754.8455318683464,842.8413443072604,574.285658410127
