,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,0.0003246784514825821,6.819392489971284e-06,4.100071814856233e-06,4.057147284554601e-06,3.896102881663293e-06,3.5097130706764285e-06,2.9359252875287697e-06,1.143180390393627e-06
TTX,0.0013833511831680746,9.519972256558627e-05,2.5971510484079012e-05,2.3636381083194306e-05,2.2414560474655072e-05,2.2200853971570698e-05,1.0522024646144978e-05,4.106222570359584e-06
DY-M50,0.00039402810044574367,1.5954187379113436e-05,8.519467821072124e-06,8.221450176956239e-06,8.188421327357026e-06,7.995181048717233e-06,5.166600582864922e-06,2.4802414029379755e-06
TTbar,0.0004435925093703917,2.704658467477764e-05,9.280889656855342e-06,8.60104586689434e-06,8.392639030989898e-06,8.30649763966779e-06,5.450453022077454e-06,2.5520119094202323e-06
SingleTop,0.00023554460795804577,8.060573679484224e-06,3.0815119657550153e-06,2.8521625006778727e-06,2.8360231792422226e-06,2.781448307329338e-06,1.848745638518147e-06,7.803038792952693e-07
WJets,0.0010131776773887344,1.4780620224277706e-05,8.462591649808477e-06,8.045215610046744e-06,7.980029665764867e-06,7.899956311730156e-06,5.1711304524350576e-06,2.5351922510792703e-06
DY-M4to50,2.642188339816149e-05,1.1180576946447594e-06,5.663459391875565e-07,5.575917095781528e-07,5.575917095781528e-07,5.276983197693059e-07,2.643151954188048e-07,1.2521527454010443e-07
Multiboson,0.00065832021677796,1.9939208429590776e-05,1.0651233588785532e-05,1.0115143176995873e-05,9.83706968304439e-06,9.553066064928523e-06,6.609668096040824e-06,2.894433638960539e-06
QCD,2.4876471605028946e-06,2.4923531805879572e-08,6.879095977386383e-09,6.879095977386383e-09,6.879095977386383e-09,6.511558511341675e-09,1.0704475775001472e-11,1.0704475775001472e-11
ZJets,0.0024215919063650454,2.2400689602995834e-05,1.3266680454768937e-05,1.24551028932724e-05,1.2300384015170878e-05,1.2198779769513708e-05,8.47575239024368e-06,4.024076127349492e-06
Total,1.6957574430746622e-05,2.8263501955436896e-07,1.3878685246930716e-07,1.3163471634842142e-07,1.3016362622784685e-07,1.2833778085338275e-07,8.056345412612123e-08,3.8748579379947746e-08
