,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,6506,165,89,82,81,77,50,21
TTX,141390,12226,3553,3312,3139,2950,1789,868
DY-M50,270888,22058,7569,7486,7483,6801,2879,1397
TTbar,516063,32723,11160,10304,10042,9934,6484,3047
SingleTop,46523,1057,407,355,354,348,212,96
WJets,1177020,21015,9820,9584,9556,9233,4806,2328
DY-M4to50,25243,1574,762,750,750,682,267,104
Multiboson,25187,1065,560,530,506,476,307,147
QCD,31490,277,74,74,74,64,1,1
ZJets,738994,8765,5090,4896,4881,4804,2773,1300
Total,2979304,100925,39084,37373,36866,35369,19568,9309
