,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
ZGamma,1665.1257291312033,34.97351253292044,21.027373510708745,20.80723343214873,19.981311115584788,17.999696343152355,15.057003976543056,5.862843907227394
TTX,440.91009551696607,30.342634090537725,8.277797646459147,7.533531013578074,7.144104924403885,7.075991089078469,3.353643635984798,1.3087602105236331
DY-M50,5356.457738738559,216.88283235500984,115.81450482463643,111.7632229127643,111.31422540005596,108.68729756220587,70.23528942161998,33.716651786199805
TTbar,22070.514885911998,1345.6765771924515,461.76165962960357,427.9366915125232,417.56761160925066,413.2817302670112,271.18200153889643,126.97287633604795
SingleTop,3663.5070144841093,125.36889921426773,47.92782479559451,44.36067298786582,44.10965252171679,43.26083060301239,28.754182375146936,12.136336976716322
WJets,214692.23521238868,3132.011753312739,1793.2222131755386,1704.7802775700416,1690.9673833515512,1673.9998486907289,1095.7619578329627,537.2069511836521
DY-M4to50,463.03406237819075,19.59356146279037,9.925010150928653,9.771595406114676,9.771595406114676,9.247724434736142,4.63202932352546,2.1943529296681152
Multiboson,4588.161421356313,138.9662728828015,74.23375098687453,70.49746994454108,68.55943729001565,66.58007464710242,46.066068447131805,20.172749401426742
QCD,53432.268403986614,535.3334918919282,147.75636532239886,147.75636532239886,147.75636532239886,139.86201404701464,0.22992184414859898,0.22992184414859898
ZJets,63745.58226147538,589.6720244432012,349.22988801016254,327.8660553709952,323.79326137730027,321.1186481269709,223.11429510482026,105.92911015607243
Total,370117.7968253681,6168.821559378647,3029.1763880529056,2873.0731154729715,2840.964948318392,2801.1138558110138,1758.38639350078,845.730554731683
