,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZJets,0.002421591906365046,2.2400689602995837e-05,1.3266680454768937e-05,1.24551028932724e-05,1.2300384015170878e-05,1.2198779769513708e-05,8.475752390243681e-06,8.463008878985865e-06,8.414735647212468e-06,8.363433752498694e-06,7.845138136135878e-06,7.1410196525671915e-06,3.7374099234708153e-06,1.7896168615340228e-06
DY-M50,0.00039402810044574367,1.5954187379113436e-05,8.519467821072124e-06,8.221450176956239e-06,8.188421327357026e-06,7.995181048717233e-06,5.166600582864922e-06,5.152725821368577e-06,5.104476121734448e-06,5.010960802020457e-06,4.33910429121871e-06,3.5735934113240027e-06,1.1215871149058956e-06,5.22008789755768e-07
TTX,0.0013833511831680746,9.519972256558627e-05,2.5971510484079012e-05,2.3636381083194306e-05,2.2414560474655072e-05,2.2200853971570698e-05,1.0522024646144978e-05,1.0045686047192996e-05,1.0395562012495586e-05,9.051991084979393e-06,8.208866230766123e-06,6.031857670953519e-06,2.0819238531331595e-06,2.1177322690715477e-06
ZGamma,0.0003246784514825821,6.819392489971284e-06,4.100071814856233e-06,4.057147284554601e-06,3.896102881663293e-06,3.5097130706764285e-06,2.9359252875287697e-06,2.7748808846374618e-06,2.7721874245562203e-06,2.60575610150243e-06,2.474168978478941e-06,2.018090236529627e-06,9.445984460642436e-07,1.9858198414702175e-07
Multiboson,0.00065832021677796,1.9939208429590776e-05,1.0651233588785532e-05,1.0115143176995873e-05,9.83706968304439e-06,9.553066064928523e-06,6.609668096040824e-06,6.609668096040824e-06,6.440642803728423e-06,6.2529596412249446e-06,5.152967246003328e-06,4.047030225431187e-06,9.966779253162779e-07,4.1988365669639613e-07
SingleTop,0.00023554460795804577,8.060573679484224e-06,3.0815119657550153e-06,2.8521625006778727e-06,2.8360231792422226e-06,2.781448307329338e-06,1.848745638518147e-06,1.8476627994416357e-06,1.8268226996407094e-06,1.7655590618508009e-06,1.5453813285647646e-06,1.226345612069574e-06,2.677736818959725e-07,6.552245152467738e-08
QCD,2.4876471605028946e-06,2.4923531805879572e-08,6.879095977386383e-09,6.879095977386383e-09,6.879095977386383e-09,6.511558511341675e-09,1.0704475775001472e-11,1.0704475775001472e-11,1.0704475775001472e-11,1.0704475775001472e-11,1.0704475775001472e-11,0.0,0.0,0.0
DY-M4to50,2.6421883398161493e-05,1.1180576946447594e-06,5.663459391875564e-07,5.575917095781528e-07,5.575917095781528e-07,5.276983197693058e-07,2.643151954188048e-07,2.643151954188048e-07,2.6249171044814107e-07,2.613983703408517e-07,2.3496941679678573e-07,2.1162605596355766e-07,7.928560917368302e-08,2.934452716350437e-08
WJets,0.0010131776773887344,1.4780620224277706e-05,8.462591649808477e-06,8.045215610046744e-06,7.980029665764867e-06,7.899956311730156e-06,5.1711304524350576e-06,5.1436421847448536e-06,5.047520124670576e-06,4.9606965434261716e-06,4.253752261059296e-06,3.5938398795218415e-06,1.1879681368004605e-06,5.553170610004205e-07
TTbar,0.0004435925093703917,2.704658467477764e-05,9.280889656855342e-06,8.60104586689434e-06,8.392639030989898e-06,8.30649763966779e-06,5.450453022077454e-06,5.4203702754665895e-06,5.322659961819273e-06,5.179083352493571e-06,4.240938144238525e-06,3.367517788206888e-06,1.0571779086831413e-06,4.170903260285968e-07
Total,1.6957574430746622e-05,2.8263501955436896e-07,1.3878685246930716e-07,1.3163471634842142e-07,1.3016362622784685e-07,1.2833778085338272e-07,8.056345412612122e-08,8.01584273310441e-08,7.884840004348658e-08,7.739486564997703e-08,6.677673833938733e-08,5.6304193439086055e-08,1.997459692434514e-08,9.107557253828908e-09
