,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 2","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
TTbar,0.0004435925093703917,1.7112795841351927e-05,5.9116665005678955e-06,5.474784554345492e-06,5.3499376263660725e-06,5.207585864439792e-06,3.3614329917546505e-06,1.5285653370903572e-06
WJets,0.0010131776773887344,1.037600517794235e-05,5.9397331786251806e-06,5.638407607541556e-06,5.5904982773918405e-06,5.4196537377236755e-06,3.526941256648807e-06,1.69251281844661e-06
ZJets,0.0024215919063650454,1.8809068015588074e-05,1.1301790303676704e-05,1.0573131226577106e-05,1.0448021350845068e-05,1.0105713596807017e-05,6.941042120663852e-06,3.2947854679130483e-06
Multiboson,0.00065832021677796,1.2157797391401605e-05,6.4892252816019924e-06,6.176965698779796e-06,6.008218413306273e-06,5.634645056177478e-06,3.8818944441726785e-06,1.5416250765046422e-06
DY-M4to50,2.6421883398161493e-05,8.254775258116998e-07,4.126612621112383e-07,4.057305174724985e-07,4.057305174724985e-07,3.937037762923149e-07,2.083460356416894e-07,9.696408748388949e-08
TTX,0.0013833511831680746,5.8552818797130207e-05,1.3873261613949035e-05,1.2463965339259647e-05,1.1762918988891647e-05,1.0448807976566763e-05,4.715945963378058e-06,1.6571313912398764e-06
SingleTop,0.00023554460795804577,5.170497395581174e-06,2.0561028727185253e-06,1.9010578434310595e-06,1.884918521995409e-06,1.8408841477233198e-06,1.2401310882863218e-06,4.990650817197881e-07
QCD,2.4876471605028946e-06,2.2791284032406045e-08,6.134176030157257e-09,6.134176030157257e-09,6.134176030157257e-09,5.788047515662552e-09,0.0,0.0
ZGamma,0.0003246784514825821,5.597491763474634e-06,3.0134033147146982e-06,2.809434331549364e-06,2.6483899286580567e-06,2.3263010166950726e-06,1.8570459398186883e-06,7.540968288884005e-07
DY-M50,0.0003940281004457437,1.0885955427558387e-05,5.881664121776739e-06,5.653233291180578e-06,5.64912126499072e-06,5.426773520451651e-06,3.470158986041259e-06,1.6322065163704805e-06
Total,1.695757443074662e-05,2.0203967076302009e-07,9.925226739978161e-08,9.402557361390217e-08,9.300893052347141e-08,8.987862201293169e-08,5.52326257557902e-08,2.603380953556269e-08
