,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 2","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
TTbar,516063,20400,6997,6456,6300,6124,3941,1798
WJets,1177020,14225,6658,6486,6470,5978,3013,1424
ZJets,738994,7343,4302,4135,4125,3910,2196,1042
Multiboson,25187,596,317,301,291,265,176,78
DY-M4to50,25243,989,492,483,483,450,195,76
TTX,141390,6884,2009,1882,1791,1615,995,477
SingleTop,46523,736,287,249,248,241,143,62
QCD,31490,234,61,61,61,53,0,0
ZGamma,6506,117,59,53,52,50,31,14
DY-M50,270888,12268,4592,4534,4532,4102,1849,885
Total,2979304,63792,25774,24640,24353,22788,12539,5856
