,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 2","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
TTbar,22070.514885911998,851.4305525406603,294.12923064575017,272.3925933180069,266.1809555553651,259.09838176463757,167.24483690632076,76.05228517998415
WJets,214692.23521238868,2198.6743233122593,1258.628788556456,1194.7779341344315,1184.6259524959492,1148.424013868834,747.3584532618947,358.64327474568466
ZJets,63745.58226147538,495.1267756131207,297.50644673502836,278.3253464770804,275.03197493324717,266.02112259416435,182.71483742580855,86.73138422981827
Multiboson,4588.161421356313,84.73374436670164,45.22664249513463,43.05034996326356,41.87426609794098,39.27064733986324,27.05485548917565,10.74435285738726
DY-M4to50,463.0340623781908,14.466198583144358,7.231741117848308,7.110282295363124,7.110282295363124,6.899517954989909,3.651189803913657,1.6992609745444467
TTX,440.91009551696607,18.662310223718244,4.421770247327674,3.972590774576606,3.749149021633803,3.330307574130111,1.503094955544082,0.5281709871548682
SingleTop,3663.5070144841093,80.41854000095535,31.979281385404974,29.567812248923204,29.316791782774175,28.63190988111353,19.288189104400868,7.76213237659927
QCD,53432.268403986614,489.53486050040544,131.75620131530397,131.75620131530397,131.75620131530397,124.32169372821696,0.0,0.0
ZGamma,1665.1257291312033,28.70694840203037,15.45435297189681,14.408290320487534,13.582368003923595,11.930522826245667,9.523930400834196,3.86741413328962
DY-M50,5356.457738738559,147.98477602877776,79.95593529017876,76.85062353975002,76.79472424099025,73.77210657595558,47.17369125300067,22.188380006252938
Total,370117.7968253681,4409.739029571773,2166.2903907603295,2052.212024387187,2030.0226657424912,1961.700224108151,1205.513078600893,568.2166554907154
