,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZJets,738994,3916,2288,2207,2198,2158,1241,1241,1241,1241,1241,1241,1241,588
DY-M50,270888,2932,1211,1189,1188,1164,591,591,591,591,591,591,591,272
TTX,141390,1670,527,506,490,475,302,302,302,302,302,302,302,125
ZGamma,6506,61,33,30,30,30,16,16,16,16,16,16,16,4
Multiboson,25187,132,69,64,63,62,43,43,43,43,43,43,43,18
SingleTop,46523,256,103,87,87,86,43,43,43,43,43,43,43,11
QCD,31490,119,35,35,35,33,0,0,0,0,0,0,0,0
DY-M4to50,25243,283,152,150,150,145,71,71,71,71,71,71,71,31
WJets,1177020,4851,2252,2189,2184,2121,1024,1024,1024,1024,1024,1024,1024,473
TTbar,516063,6106,2182,2032,2003,1990,1261,1261,1261,1261,1261,1261,1261,506
Total,2979304,20326,8852,8489,8428,8264,4592,4592,4592,4592,4592,4592,4592,2028
