,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZJets,63745.58226147538,266.370143150324,159.10406040849574,149.26353088432194,146.67628868242195,145.26199163252437,99.55356254150269,99.55356254150269,99.55356254150269,99.55356254150269,99.55356254150269,99.55356254150269,99.55356254150269,47.529728301531904
DY-M50,5356.457738738559,49.204986552517504,25.7536743921269,24.362112835261,24.34895511300774,24.250639165250078,15.476107174704893,15.476107174704893,15.476107174704893,15.476107174704893,15.476107174704893,15.476107174704893,15.476107174704893,7.184904052686021
TTX,440.91009551696607,6.193703494159224,1.11312708045498,1.089967948620063,1.0739735129963581,1.1920526547465273,0.5443309370762534,0.5443309370762534,0.5443309370762534,0.5443309370762534,0.5443309370762534,0.5443309370762534,0.5443309370762534,0.6826165428371718
ZGamma,1665.1257291312033,14.765689918252729,7.086115283216422,6.232566487227365,6.232566487227365,6.232566487227365,4.858222400402229,4.858222400402229,4.858222400402229,4.858222400402229,4.858222400402229,4.858222400402229,4.858222400402229,1.018435223019011
Multiboson,4588.161421356313,21.216762727277352,10.567870426241598,9.839943627011678,9.548981092154357,9.536417199992872,7.166430205670491,7.166430205670491,7.166430205670491,7.166430205670491,7.166430205670491,7.166430205670491,7.166430205670491,2.9389421895519705
SingleTop,3663.5070144841093,23.402169353676072,9.976943420650922,8.947754163306573,8.947754163306573,8.911142466679012,4.76967164499358,4.76967164499358,4.76967164499358,4.76967164499358,4.76967164499358,4.76967164499358,4.76967164499358,1.0190934228883128
QCD,53432.268403986614,307.6994289393736,85.9507575705037,85.9507575705037,85.9507575705037,84.80469234247347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DY-M4to50,463.03406237819075,4.491103067376768,2.7532032099073023,2.7276340857716397,2.7276340857716397,2.695700094806001,1.3894519611109373,1.3894519611109373,1.3894519611109373,1.3894519611109373,1.3894519611109373,1.3894519611109373,1.3894519611109373,0.5142523497030516
WJets,214692.23521238868,805.1443260665739,447.98370262047274,424.3975072503687,420.95554272646365,417.9867164371882,256.7906197656123,256.7906197656123,256.7906197656123,256.7906197656123,256.7906197656123,256.7906197656123,256.7906197656123,119.21683427741615
TTbar,22070.514885911998,264.0559821284218,94.89973546562975,88.63019412930481,87.49076613962673,86.98469350832511,55.311077888399545,55.311077888399545,55.311077888399545,55.311077888399545,55.311077888399545,55.311077888399545,55.311077888399545,22.005859573659748
Total,370117.796825368,1762.5442953979527,845.1891898777001,801.4419689816973,793.9532195734802,787.856611989213,445.85947451947294,445.85947451947294,445.85947451947294,445.85947451947294,445.85947451947294,445.85947451947294,445.85947451947294,202.11066593329332
