,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZGamma,6506,165,89,82,81,77,50,15,15,14,14,10,6,2
TTX,141390,12226,3553,3312,3139,2950,1789,434,423,399,310,221,65,29
DY-M50,270888,22058,7569,7486,7483,6801,2879,864,857,844,736,611,180,89
TTbar,516063,32723,11160,10304,10042,9934,6484,1527,1498,1445,1188,924,267,120
SingleTop,46523,1057,407,355,354,348,212,43,42,41,38,32,5,4
WJets,1177020,21015,9820,9584,9556,9233,4806,1049,1028,1011,852,707,230,112
DY-M4to50,25243,1574,762,750,750,682,267,69,69,69,64,56,20,11
Multiboson,25187,1065,560,530,506,476,307,66,63,62,50,34,6,3
QCD,31490,277,74,74,74,64,1,0,0,0,0,0,0,0
ZJets,738994,8765,5090,4896,4881,4804,2773,604,601,594,552,494,260,130
Total,2979304,100925,39084,37373,36866,35369,19568,4671,4596,4479,3804,3089,1039,500
