,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZGamma,1665.1257291312033,34.973512532920445,21.027373510708745,20.80723343214873,19.981311115584788,17.99969634315236,15.057003976543056,2.5315291145090844,2.5315291145090844,2.5177156025215055,2.5177156025215055,2.1879431568741308,1.1971349578302775,0.1786997348112663
TTX,440.91009551696607,30.342634090537725,8.277797646459147,7.533531013578074,7.144104924403885,7.075991089078469,3.353643635984798,0.693647112440454,0.6763381730995874,0.6425957359736607,0.6195519604171903,0.48169192760969815,0.42114683408577636,0.31347311586087867
DY-M50,5356.457738738559,216.88283235500984,115.81450482463643,111.7632229127643,111.31422540005596,108.68729756220588,70.23528942162,21.731589040407947,21.60586224682685,21.390161421336174,19.37393575184533,16.398589414336257,4.791730921947033,1.7721191422401994
TTbar,22070.514885911998,1345.6765771924515,461.76165962960357,427.9366915125232,417.56761160925066,413.2817302670112,271.18200153889643,64.02523657597584,62.84517150223078,60.680822994341305,50.141508818940636,39.17739861152693,11.630988221875292,5.1483963405867375
SingleTop,3663.5070144841093,125.36889921426773,47.92782479559451,44.36067298786582,44.10965252171679,43.26083060301239,28.754182375146936,6.906042576250523,6.869430898183686,6.832819220116849,6.0797587642430715,5.009545324403082,0.6048945796839915,0.5682828969769733
WJets,214692.23521238868,3132.011753312739,1793.2222131755386,1704.7802775700416,1690.9673833515512,1673.9998486907289,1095.7619578329627,248.40241961956815,243.79158245012823,240.54289396135877,204.98845886872127,174.78298947744935,60.58142540556577,31.027541797471695
DY-M4to50,463.0340623781908,19.59356146279037,9.925010150928651,9.771595406114676,9.771595406114676,9.24772443473614,4.63202932352546,1.603371276194924,1.603371276194924,1.603371276194924,1.5586417574798783,1.4691607886866351,0.4439975695786465,0.12143689112203351
Multiboson,4588.161421356313,138.9662728828015,74.23375098687453,70.49746994454108,68.55943729001565,66.58007464710242,46.066068447131805,9.005825419005372,8.734799042008357,8.443836507151033,7.228853556252458,5.130227019728482,0.7843311932001182,0.24040238309065654
QCD,53432.268403986614,535.3334918919282,147.75636532239886,147.75636532239886,147.75636532239886,139.86201404701464,0.22992184414859898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJets,63745.582261475385,589.6720244432013,349.22988801016254,327.8660553709952,323.79326137730027,321.1186481269709,223.1142951048203,49.40184928761988,49.09270505274987,48.43722575580503,45.725423688719346,40.83133215098585,22.761550882892553,11.318363449445691
Total,370117.7968253681,6168.821559378648,3029.1763880529056,2873.0731154729715,2840.964948318392,2801.1138558110138,1758.38639350078,404.3015100219722,397.75078975593135,391.09144247479924,338.2338487691407,285.46887787160045,103.21720056665946,50.68871575160613
