,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0
SingleTop,0.00023564103448618862,8.0682966773303e-06,3.080916731445192e-06,2.8531515183000933e-06,2.8370121973770027e-06,2.782389251909674e-06,1.8481472536075678e-06,1.1739445717957749e-06
TTbar,0.00044364699305655047,2.7043854389631074e-05,9.300204519780664e-06,8.617760043487374e-06,8.409249677626505e-06,8.323687825636911e-06,5.45906999517788e-06,3.2221330485431917e-06
ZGamma,0.00032470326374004914,6.819014352165481e-06,4.100072721612924e-06,4.057148140606815e-06,3.896103695791377e-06,3.5097138494645978e-06,2.9359260156078357e-06,2.0180907028193754e-06
QCD,2.482419777063774e-06,2.5651066028230424e-08,6.637637445934515e-09,6.637637445934515e-09,6.637637445934515e-09,6.225351508582701e-09,1.0983955961513523e-11,0.0
WJets,0.001013292743948631,1.4764343200721981e-05,8.438754631346043e-06,8.01977734392918e-06,7.953948522528836e-06,7.875320228628652e-06,5.149292231572811e-06,2.8815897834715627e-06
Multiboson,0.0006591377388398073,2.0212358796796794e-05,1.0726110698388705e-05,1.0220806979685524e-05,9.936876755245122e-06,9.643711959569068e-06,6.685669591128362e-06,4.067393860845878e-06
DY-M50,0.00039399417704866023,1.5950523627826006e-05,8.517977073626636e-06,8.219969164753683e-06,8.18709819139698e-06,7.993644830210564e-06,5.166421190571222e-06,4.012765818605554e-06
ZJets,0.002421662019376248,2.238923440627601e-05,1.3236753446666041e-05,1.2426200014792336e-05,1.227248904663914e-05,1.2169685327053612e-05,8.468391868373153e-06,4.816812487183837e-06
DY-M4to50,2.6456099600495896e-05,1.1285250569901952e-06,5.896956838154332e-07,5.806795262178515e-07,5.806795262178515e-07,5.509799114324099e-07,2.8301625285741684e-07,2.2524591975412312e-07
TTX,0.0013833561115585249,9.5199731326555e-05,2.5971514954852305e-05,2.363638528711813e-05,2.2414563732333345e-05,2.220085612133506e-05,1.0522025168165788e-05,8.075516752020843e-06
Total,1.695409807120276e-05,2.8327167840510433e-07,1.3836705125772564e-07,1.3120543154879788e-07,1.2972730776998628e-07,1.2786839262598677e-07,8.040122354657064e-08,4.65381762768375e-08
