,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
DY-M50,0.00039399417704866023,2.1111006256467087e-05,2.1111006256467087e-05,2.1111006256467087e-05,2.1111006256467087e-05,1.1178771378618782e-05,1.0731522402235342e-05,1.0695507302102636e-05,1.0485043640510178e-05,6.440318536006576e-06,1.3843260722693037e-06
QCD,2.482419777063774e-06,5.0770698255956464e-08,5.0770698255956464e-08,5.0770698255956464e-08,5.0770698255956464e-08,1.8544845213703026e-08,1.815931051243948e-08,1.815931051243948e-08,1.7083199620777042e-08,1.0983955961513523e-11,0.0
Multiboson,0.0006591377388398072,2.850446743963777e-05,2.850446743963777e-05,2.850446743963777e-05,2.850446743963777e-05,1.4822279211121174e-05,1.4182563733602651e-05,1.385358107168028e-05,1.3530629802530207e-05,9.361703565670326e-06,2.8921176022351295e-06
TTX,0.0013833561115585249,0.0001450629707680282,0.0001450629707680282,0.0001450629707680282,0.0001450629707680282,4.155921238167246e-05,3.956463698656675e-05,3.9132067098712434e-05,3.7853564329842356e-05,1.751062214048863e-05,6.936726510598524e-06
ZJets,0.002421662019376248,4.1342588989290145e-05,4.1342588989290145e-05,4.1342588989290145e-05,4.1342588989290145e-05,2.452029910052069e-05,2.318690035034531e-05,2.28169505246438e-05,2.26007790141912e-05,1.5789313522538834e-05,7.5086760842157264e-06
WJets,0.001013292743948631,2.7918340267003087e-05,2.7918340267003087e-05,2.7918340267003087e-05,2.7918340267003087e-05,1.5966981773710614e-05,1.5254748266264769e-05,1.5142359921406005e-05,1.5000072610209473e-05,9.852618396622141e-06,4.843393427055162e-06
ZGamma,0.00032470326374004914,9.744738129902419e-06,9.744738129902419e-06,9.744738129902419e-06,9.744738129902419e-06,6.174384419370459e-06,6.292504070818996e-06,6.0993090976832105e-06,5.712918726690052e-06,4.167769044548272e-06,1.234536607695174e-06
TTbar,0.00044364699305655047,4.0798762644320476e-05,4.0798762644320476e-05,4.0798762644320476e-05,4.0798762644320476e-05,1.4330394374918911e-05,1.3330972016379962e-05,1.3036062106519912e-05,1.2903982972948152e-05,8.443920450983511e-06,3.2124665882534916e-06
SingleTop,0.00023564103448618862,1.2524638901634276e-05,1.2524638901634276e-05,1.2524638901634276e-05,1.2524638901634276e-05,4.799328426492686e-06,4.469758406777773e-06,4.389325681119009e-06,4.3301588587399384e-06,2.82871732114358e-06,1.0517811851331498e-06
DY-M4to50,2.6456099600495896e-05,1.300037719771488e-06,1.300037719771488e-06,1.300037719771488e-06,1.300037719771488e-06,6.903778360449687e-07,6.791724953157787e-07,6.791724953157787e-07,6.452300784181312e-07,3.230775308383237e-07,4.8772822457002934e-08
Total,1.6954098071202757e-05,5.005033478969429e-07,5.005033478969429e-07,5.005033478969429e-07,5.005033478969429e-07,2.532341552816437e-07,2.413255144620763e-07,2.3887942313689715e-07,2.3546413314968364e-07,1.4446779272739701e-07,6.636712472306724e-08
