,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
DY-M50,5355.996580657126,286.9851482853366,286.9851482853366,286.9851482853366,286.9851482853366,151.96534560061602,145.88539790657623,145.39580500292533,142.5347407600836,87.55033974254323,18.8186682481685
QCD,53319.9892353793,1090.5057675951407,1090.5057675951407,1090.5057675951407,1090.5057675951407,398.3254388731925,390.04452429493693,390.04452429493693,366.93069733881146,0.23592480975256724,0.0
Multiboson,4593.859139715373,198.66182825578346,198.66182825578346,198.66182825578346,198.66182825578346,103.30384502831616,98.84534929965622,96.55250530176875,94.3016970836274,65.24637409497899,20.15660778814624
TTX,440.9116663235195,46.23535156909985,46.23535156909985,46.23535156909985,46.23535156909985,13.246004719386407,12.610281528722824,12.472410225403575,12.064918053639753,5.58109189804069,2.210915626904457
ZJets,63747.427904711745,1088.2954309485885,1088.2954309485885,1088.2954309485885,1088.2954309485885,645.4682720403002,610.3681052891482,600.6296076567073,594.9391447979889,415.6352609858364,197.65713939786872
WJets,214716.6178034127,5915.893144024746,5915.893144024746,5915.893144024746,5915.893144024746,3383.4016314180576,3232.4794317691217,3208.664354208652,3178.5136890638423,2087.7687235640915,1026.3145192336294
ZGamma,1665.2529797328907,49.97625838626646,49.97625838626646,49.97625838626646,49.97625838626646,31.665564226063594,32.27134532993682,31.280537596814234,29.298919952368326,21.37456131586299,6.331367725947984
TTbar,22073.225668851308,2029.9028483287716,2029.9028483287716,2029.9028483287716,2029.9028483287716,712.9948673424285,663.2695776328376,648.5966212188363,642.0251520843567,420.1190689026711,159.8331580422219
SingleTop,3665.006769733427,194.80005451107758,194.80005451107758,194.80005451107758,194.80005451107758,74.64562024022489,69.5197033726891,68.26870528277551,67.34846316520148,43.99602197579501,16.358717708893685
DY-M4to50,463.633689093944,22.782696356632858,22.782696356632858,22.782696356632858,22.782696356632858,12.098624809691266,11.90225521862231,11.90225521862231,11.30742649478707,5.661818247884385,0.8547262803183721
Total,370041.92143761134,10924.038528261444,10924.038528261444,10924.038528261444,10924.038528261444,5527.115214298277,5267.195971642248,5213.807326007443,5139.264848794707,3153.1691855374565,1448.535820052099
