,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 1.22 rad,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.005091995823980099,0.00022362359607079797,0.00020286790059377633,0.00020138104982801155,0.00019247506558052504,0.00019247506558052504,0.00018358238856921208,0.00018209861510181242,0.00017319728838698667,3.2513328949258165e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.005335874112054998,0.00037427180176955,0.0003430233653556602,0.0003430233653556602,0.00032955753673072406,0.00032955753673072406,0.0003041771585039793,0.0003041771585039793,0.0003011992145981163,0.00013875566716745597,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.006509661703965456,0.0007740223240105245,0.0007193390902098293,0.0007193390902098293,0.0006874785581274008,0.0006814089947077771,0.000623793605448012,0.0006222748988719427,0.0006162265489258452,0.0003781369668700943,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0061034668221005076,0.0005369926018049088,0.0005056937588251051,0.0005056937588251051,0.0004892728982936149,0.0004818392735424755,0.0004475317875372561,0.0004475317875372561,0.000441629385026625,0.00022677829674329152,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.009780972471294282,0.0016399645510772006,0.0015351425808464213,0.0015249072506117029,0.0014685569352468248,0.0014557467687140815,0.0013509301797756915,0.0013381121655248803,0.0013202064756507544,0.0009308666640318364,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.008402650144338893,0.0011681558089436349,0.0010712449730286356,0.0010636335931758492,0.0010236090196984627,0.0010179159271613356,0.0009248923411293054,0.0009229906592633395,0.0009153585225984363,0.000580553719862856,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.013426010260952869,0.002507885602505412,0.0023833386353669665,0.0023716603297569516,0.002242915033829996,0.0022077483873111877,0.002043844955491384,0.0019969586836568157,0.001985298386037961,0.001415924311714541,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.0115180969496016,0.0020193362166629407,0.001918777218217499,0.001918777218217499,0.0018684830899632103,0.0018389567207431658,0.001723507618781957,0.001705829318304523,0.0017028912943382276,0.00119727466736291,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.016039423571008866,0.0028995708598503573,0.0027269636841887675,0.0027226375279650133,0.0025976632024094677,0.002567547432015487,0.0023820393276893096,0.0023517963244670402,0.0023388591464494875,0.0016441280537114508,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.018106906218684327,0.0036370325735995313,0.0034281337162311277,0.0034224178911565597,0.0033266328578367356,0.0032758604953123157,0.0030053469006617733,0.002948819233073782,0.0028980402905511952,0.002063568030209175,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.02400140252638644,0.005188397347167589,0.004864155959351448,0.004864155959351448,0.004714029948790306,0.004682346698042643,0.004389833156149943,0.004263240830668339,0.004175901989728093,0.002980604114792004,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.020433214004949726,0.0037961657517859015,0.0035213705169599304,0.0035087002553228375,0.003364832802059442,0.0033084875328829168,0.003014462810420487,0.0029830646927686585,0.0029641737582695405,0.0020884235651490793,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.02519215719333669,0.0047156122217866525,0.004464788562986609,0.0044565581993630385,0.0043274705207693685,0.004295150384117055,0.00390657512855235,0.003785324904773649,0.003721022947471561,0.0025645257559279364,60.0,0.1,100.0
sig_2018_Mchi-66p0_dMchi-12p0_ctau-100,0.0295253300455679,0.006202634982832413,0.005702432579072564,0.0056837124551675205,0.005465972985299751,0.005399555960783337,0.00494640616831721,0.004757691661499692,0.004493753940458578,0.003152787545182778,60.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.03157619595776257,0.006444302225961151,0.005947995959939148,0.005928181516973415,0.005699970590439871,0.005620533691552417,0.0051936058515857685,0.005143896295525215,0.004975043522214391,0.0035354633788627805,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.03522990013366192,0.008011839266238453,0.007482532787459134,0.007482532787459134,0.007241917734429698,0.007169588203845823,0.006638384874819569,0.006300618005397051,0.005879032653798963,0.00395099186354066,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.03664808784487824,0.008207349212825555,0.007569950445130201,0.007557481390167834,0.0072200034562193175,0.007182254357402134,0.006507170264281318,0.006256665667835141,0.0060316751771602095,0.004241402744001607,80.0,0.1,100.0
