,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 1.22 rad,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,4192.72086102282,1268.6659485921032,1172.2039334452552,1169.1930414923884,1121.015140384115,1104.4599692464806,1021.5165086073735,1019.9782360492127,1004.9012080099403,194.52345814233416,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,81359.91704247617,19618.35318586726,18241.832710855288,18145.799553967583,17514.547625231036,17457.131421140744,16137.30066718445,16118.140750555234,15698.865579613683,1832.0281285779263,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,2503.0403227533816,953.3382773702484,888.6849344063609,886.4291213347753,862.584990747321,856.9032856766854,796.7413479683853,793.344724641453,770.5862674747335,156.65979328736094,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,57086.96398962517,18116.62968334551,17109.216459456227,17044.586187464545,16446.833715303834,16297.291060419491,14819.39823596383,14798.16302388273,14090.353376933195,2378.337127508704,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,1940.3873669589057,735.9734222929841,677.4810474310716,674.4843619069067,645.6030375964482,643.6157573488288,591.0132783891133,591.0132783891133,564.1730623063336,133.12984481802553,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,43567.91605311456,16418.746916556243,15260.447271371475,15260.447271371475,14879.633222224329,14639.888925642863,13581.8740350425,13581.8740350425,13122.015604459344,2517.9750303193186,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,93765.5815616633,39698.95397767214,37457.32289735724,37301.38165469259,35738.15309451323,35321.0981007235,32614.692248110416,32510.092653571224,31419.409422322908,7141.112735265967,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,49231.22157287083,19271.441325701973,17853.767967389944,17830.98583680313,17304.178604902103,17189.92842136151,16067.151697381883,16044.348423863526,15357.831218204126,2837.6575146713435,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,947.1136881764739,428.3478023156291,396.8037606671412,396.8037606671412,377.72833631684546,374.48186308978086,337.4348766610631,335.2621780075846,322.1967802084233,70.73960895377421,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,22850.584401909327,8736.376195485369,8161.382303958489,8149.564360707255,7772.765661749265,7667.268501984079,7149.331455074174,7137.637547022507,6785.273129562082,1410.9003950576925,40.0,0.1,1.0
