,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 1.22 rad,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,221.74412431205243,46.59919930302466,43.03353324950385,42.898420957681516,40.81179532818174,40.20820644153511,36.970273835418,36.970273835418,36.16134406107682,14.957412946032886,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5670.126483383068,954.2665453186236,894.4157489780661,892.485564478649,851.9594883660483,840.4140805980329,783.5656586920595,782.6079315744417,770.0720435131585,212.0730431191503,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,156.97863503329202,45.26456337073777,42.16329565912985,41.98421639194162,40.431720839888996,40.013828906217626,37.09510289858178,36.916240033692546,36.38119171421176,19.4374215706409,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3937.435072504844,926.4397011220666,858.164264579927,858.164264579927,818.3150827570596,809.3260992516962,745.0622595803688,742.4949225395095,730.8859761857575,336.1596170823665,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,133.82152071082362,43.06431244412232,40.44284749688763,40.317915769519765,39.00598332009954,38.69203348641184,35.68858172126862,35.31344681998796,35.00052162317303,20.054418896864018,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3507.5582026221828,1034.744010119592,964.9921238722507,964.9921238722507,931.6137637096421,927.0683147969822,849.7376732818251,846.7033391904497,828.4497732938211,465.95293459089163,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,23879.94132544789,7944.352941340023,7451.140077766884,7427.180632813667,7222.839371112578,7138.81048469155,6705.584121070679,6681.51434107385,6633.482833329795,4226.806923386859,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,32819.20057077605,10935.553113559454,10157.160539771921,10125.959828284278,9938.849517008304,9876.408310163239,9175.392823692817,9159.760302267048,9034.629027774494,4920.919333362203,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,70.0696174945943,26.518563641164647,24.795816141162785,24.756476258307906,24.052707167814265,23.857735080997834,22.4081364764094,22.291206568255745,22.134515106132472,13.12206724564119,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,1965.3727149446127,631.4649286736969,580.984016252546,579.95619759677,565.5163004498237,559.3237702466814,508.8923788534543,507.87874173916236,503.73979023671114,298.6076811586353,40.0,0.1,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,803.8916841643118,263.4612072964886,243.59115944147393,242.79550902936143,234.45777542597241,232.87841862635233,214.9890852703817,213.4035203759816,211.8092991240714,120.01953998593225,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,28.691274824716853,11.060455539406155,10.104842763557608,10.073239779557907,9.650890856594083,9.556956346331216,8.695994849454808,8.648797520416693,8.319926177719255,4.339288805577888,50.0,0.2,10.0
sig_2018_Mchi-66p0_dMchi-12p0_ctau-10,18.55003167004048,7.167782835866848,6.693947541647328,6.65340066377417,6.420867153642789,6.380261030675328,5.835145756330408,5.8050132367008,5.552507740612673,3.1895874353065587,60.0,0.2,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,479.7492624274794,155.76017144114928,146.60089029280223,146.60089029280223,139.60165237424923,138.79898808161389,125.90213032662317,125.10121066903852,122.42408140070054,70.33961442834442,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,12.617703749547125,4.948483425822669,4.586382399825467,4.578765288650239,4.455277336872933,4.4400603162505945,4.101176509185259,4.078034141016283,3.7859088151794986,2.215767616388842,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,351.70276793856317,123.32675868395368,113.96534071675258,113.40044329798697,108.5375353342542,107.41625483069092,97.12851227829577,96.75206609858526,93.56856924899931,51.10985753450097,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,278.30268142976075,100.11763039290868,91.79009657063334,91.51326249270792,87.90424717785218,86.79111746940093,79.29137727982418,78.8732144167775,75.12515005604091,40.13350769400713,80.0,0.1,10.0
