,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,3104,377,377,338,324,324,324,321,38,5.0,0.1,1.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,4120,579,579,485,455,454,454,451,155,5.0,0.2,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,6843,1177,1177,1013,966,966,966,961,442,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,7164,1008,1008,872,811,810,810,804,221,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,7878,1725,1725,1502,1431,1431,1431,1414,849,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,7989,1217,1217,1026,980,978,978,969,364,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,7282,1757,1757,1536,1485,1482,1482,1464,947,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,10143,1609,1609,1388,1341,1341,1341,1332,555,30.0,0.1,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,11957,2119,2119,1810,1729,1726,1726,1713,811,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,9443,2390,2390,2027,1971,1970,1970,1955,1276,40.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,15009,2785,2785,2400,2316,2315,2315,2304,1071,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,878,245,245,208,202,202,202,200,136,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,13703,2655,2655,2258,2166,2166,2166,2143,1042,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,16206,3214,3214,2725,2652,2652,2652,2625,1312,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,15806,4596,4596,3895,3777,3777,3777,3735,2415,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,18119,3875,3875,3340,3223,3222,3222,3198,1606,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,52076,11443,11443,9782,9469,9466,9466,9380,4824,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,36268,11150,11150,9498,9223,9221,9221,9128,5668,90.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,63640,14433,14433,12305,11958,11951,11951,11844,6072,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,20610,6537,6537,5587,5406,5405,5405,5351,3218,100.0,0.2,1.0
