,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,17.437131251958494,2.4506794745776173,2.4506794745776173,2.052855544618901,1.925983277112453,1.9217476287929065,1.9217476287929065,1.9090579649603747,0.5291950506285032,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,3492.0909954241883,424.04261288443655,424.04261288443655,380.171696691171,364.42608979195103,364.42608979195103,364.42608979195103,361.05224080667296,31.501308855359163,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,9.832500662868952,1.6912515881362915,1.6912515881362915,1.4556869826922025,1.3881399895523374,1.3881399895523374,1.3881399895523374,1.380964174091526,0.5576462548127498,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,2547.9229222654226,358.5287630298646,358.5287630298646,310.1660273123461,288.469138672781,288.1116631665846,288.1116631665846,285.98268706251304,62.620478384410205,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,7.601652512856319,1.6643370399014759,1.6643370399014759,1.4491614651303324,1.3806601174051276,1.3806601174051276,1.3806601174051276,1.364251078256195,0.7814532078727794,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,2062.8284295522817,314.21591117635217,314.21591117635217,264.90896871629093,253.02393260884176,252.50651762778577,252.50651762778577,250.18738143734265,80.04882395621081,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,11.97521549686722,2.889664994952514,2.889664994952514,2.526069765140189,2.4422210740988644,2.4372893733377965,2.4372893733377965,2.40769667223441,1.4753568229630254,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,2318.677616420019,367.7834235077103,367.7834235077103,317.2666078819006,306.51902430759714,306.51902430759714,306.51902430759714,304.46043876525516,110.4298068609931,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,565.0463346792507,143.0168840678421,143.0168840678421,121.30030406874644,117.94865414826508,117.88870824617963,117.88870824617963,116.99248249592999,72.8313237647271,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,15715.119362027523,2785.1567538065833,2785.1567538065833,2378.91080236215,2272.4885020071943,2268.5538736754684,2268.5538736754684,2251.465697279489,943.7996854710952,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,2331.910511382921,432.66647640214313,432.66647640214313,372.8643153144816,359.81994709289603,359.66364333931847,359.66364333931847,357.95284413634005,152.5695750429674,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.6153833265490056,0.1717621946185314,0.1717621946185314,0.14584979123608716,0.14165650579944863,0.14165650579944863,0.14165650579944863,0.1402508873526573,0.09328226282500175,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,1098.2867747043022,212.80239748528803,212.80239748528803,180.9877863385395,173.6144672062137,173.6144672062137,173.6144672062137,171.7703983157804,77.02531775646807,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.1831769668784213,0.05326322158140212,0.05326322158140212,0.0451402256152068,0.04377269356158116,0.04377269356158116,0.04377269356158116,0.0432862380360276,0.02642299969226388,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,799.4253476527125,158.54606148134494,158.54606148134494,134.4256993574294,130.82506629876823,130.82506629876823,130.82506629876823,129.49248967324803,60.18364209530714,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,634.9632073494276,135.78907224115534,135.78907224115534,117.0412998729005,112.93990932306102,112.90498589347288,112.90498589347288,112.06306224792517,52.101896827538205,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.10283323809472895,0.03161323506505093,0.03161323506505093,0.026929380464320845,0.026149711084459733,0.0261440486878055,0.0261440486878055,0.02588043266579164,0.01489127128454375,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,530.0335413436086,116.46551119944023,116.46551119944023,99.56292418441897,96.37747325272589,96.34691247090662,96.34691247090662,95.47224118438882,45.24224764173378,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.07815480807545233,0.02478860893391969,0.02478860893391969,0.02118590665740984,0.02049930760935031,0.020495519970399213,0.020495519970399213,0.020290897978866903,0.011125633759729428,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,446.67070537152705,101.3013867091872,101.3013867091872,86.36460043188151,83.92967877800021,83.88048563042936,83.88048563042936,83.1298726773478,39.66189571420585,100.0,0.1,1.0
