,Preselections,n(good vertex) > 0,HEM MET veto
Multiboson,0.0006268526924322866,3.5900312011043497e-06,3.0513412683553135e-06
DY-M4to50,2.4999989847446785e-05,3.046268199592566e-07,2.342838589402971e-07
TTbar,0.00041436751619835236,5.766908357487304e-06,5.1985353288513466e-06
WJets,0.0009684308837871612,4.883171397718203e-06,4.415218683884617e-06
QCD,2.163149474790388e-06,1.6523691696969874e-08,1.555551032504781e-08
TTX,0.0012716539584219908,1.8930163740956385e-05,1.813469023523999e-05
ZGamma,0.0003138723385512838,2.728852727234555e-06,2.4686627002392427e-06
DY-M50,0.00037497011388813685,3.796087065295092e-06,3.3439729057841305e-06
SingleTop,0.0002227581307675561,1.790315892486297e-06,1.6241286763935975e-06
ZJets,0.002319079561215305,1.373012166336964e-05,1.2203136871045859e-05
Total,1.3804588166409557e-05,8.769524003142699e-08,7.953936161800918e-08
