,Preselections,n(good vertex) > 0,HEM MET veto
Multiboson,4368.848573977809,25.020715206028754,21.266316807618665
DY-M4to50,356.19177734970225,4.3402244997614225,3.338000720380852
TTbar,20616.453707648056,286.9269296956016,258.6480811481692
WJets,169595.36752947335,855.1598898486202,773.2101980144805
QCD,46462.37021474421,354.9130052666857,334.1174005886405
TTX,394.77215439186006,5.876678536259564,5.629731803987373
ZGamma,1609.7061698976347,13.995024512342406,12.660630109403476
DY-M50,4144.212640085395,41.95478897167199,36.95797150486483
SingleTop,3464.6344982164323,27.84540426174459,25.260636827876468
ZJets,49631.75963517044,293.84507093016555,261.16532011581285
Total,300644.31690095493,1909.8777317288816,1732.2542876412347
