,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
ZJets,0.0024216620193762486,2.0951488246186743e-05,1.9624827280194405e-05,1.9513739583057822e-05,1.856878755808957e-05,1.103661087031334e-05,1.0416685769769037e-05,1.0265786137101706e-05,1.0166841532557652e-05,7.068456080272261e-06,3.53271875112205e-06
ZGamma,0.00032470326374004914,4.223861415961835e-06,4.250625236480494e-06,4.250625236480494e-06,4.052043130821432e-06,2.1060519545093777e-06,1.7758828969955708e-06,1.7758828969955708e-06,1.7758828969955708e-06,1.2717835708439715e-06,4.5338512973879174e-07
TTbar,0.00044364699305655047,1.0060190231049697e-05,9.325750066165897e-06,9.267875142402528e-06,8.859994440809634e-06,3.1580598465080204e-06,2.9621136449032267e-06,2.918758531058906e-06,2.897121402641531e-06,1.8090196573357804e-06,7.65024599281532e-07
WJets,0.0010132927439486308,8.560277381569112e-06,8.013356712612705e-06,7.965140728994817e-06,7.534075855533611e-06,4.168361478734089e-06,3.961468013052886e-06,3.9361157079243525e-06,3.907560704168584e-06,2.4351589623465703e-06,1.1770084404094238e-06
Multiboson,0.0006591377388398073,6.002126298273966e-06,5.550852644585385e-06,5.476013766658956e-06,5.189809034646909e-06,2.5411298890769076e-06,2.3616764554939045e-06,2.2780921023750774e-06,2.2465029654919593e-06,1.4803125682378747e-06,6.01555158114587e-07
TTX,0.00136440404821353,3.7256120934406095e-05,3.4853642091748335e-05,3.4312791447308596e-05,3.1280544350004144e-05,8.22076702007424e-06,7.78328628200318e-06,7.751885072265724e-06,7.2166816551437855e-06,-5.060409567675941e-07,2.164819288090717e-08
DY-M50,0.0003939941770486602,6.281321262611678e-06,5.773382582399501e-06,5.7174608083480586e-06,5.4307757944570884e-06,2.7131149260521663e-06,2.5596020433850226e-06,2.5554900171951653e-06,2.5380028500143746e-06,1.4928596084157258e-06,4.1811358334007844e-07
DY-M4to50,2.6456099600495896e-05,4.3685272844447307e-07,4.225443652192182e-07,4.2184476287557334e-07,3.940834171896605e-07,2.253176489035059e-07,2.242230573377018e-07,2.242230573377018e-07,2.214246479631224e-07,1.183577225324577e-07,3.44192711814112e-08
QCD,2.482419777063774e-06,4.2418173364181507e-08,2.5620308263532592e-08,2.5609324307571075e-08,2.460899627822378e-08,9.668299109358482e-09,9.282764408094937e-09,9.282764408094937e-09,8.785201934449684e-09,0.0,0.0
SingleTop,0.00023564103448618862,3.064795725623119e-06,2.7557490898219127e-06,2.7494925472503692e-06,2.6166933438883067e-06,9.977947067313967e-07,9.32297291656465e-07,8.998335254606359e-07,8.793870652113165e-07,4.6123044040401446e-07,1.2622304228526815e-07
Total,1.4681914291403448e-05,1.6334914346683141e-07,1.387427258048573e-07,1.3803783728849053e-07,1.3128455575268685e-07,6.477694741192109e-08,6.140941498175248e-08,6.090575409343219e-08,5.99957138542253e-08,3.259062783829743e-08,1.5308155014442938e-08
