,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
ZJets,729756,8086,7569,7525,7170,4132,3982,3969,3895,2307,1113
ZGamma,6511,113,108,108,102,53,48,48,48,25,9
TTbar,519733,11622,10769,10702,10233,3638,3402,3347,3321,2066,876
WJets,1171204,10813,10167,10098,9565,4468,4353,4342,4205,2049,978
Multiboson,24553,257,238,236,225,114,109,106,104,68,28
TTX,141391,3246,2996,2973,2842,857,817,798,773,485,203
DY-M50,272468,4819,4504,4461,4263,1686,1655,1653,1599,753,194
DY-M4to50,25923,447,421,419,396,206,205,205,197,98,25
QCD,31603,257,245,244,229,73,72,72,66,0,0
SingleTop,46314,487,447,444,423,157,141,138,135,67,24
Total,2969456,40147,37464,37210,35448,15384,14784,14678,14343,7918,3450
