,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
ZJets,51827.177158302235,448.3930806103542,420.00055829991254,417.6231159840404,397.3997340206315,236.19992477327773,222.93260350642998,219.70312642300655,217.58556439018264,151.27549698380594,75.60544745712191
ZGamma,1665.2529797328907,21.662233166034174,21.79949243270854,21.79949243270854,20.78105658651043,10.80096717329808,9.10768266328885,9.10768266328885,9.10768266328885,6.522390186440382,2.3252028007594796
TTbar,22073.225668851308,500.5350035432965,463.99364576679505,461.11413509098713,440.8204265498774,157.1262033975375,147.3770902632904,145.2199986414332,144.1434643115324,90.00601775896824,38.063056633883946
WJets,177451.7502507543,1499.1089327966122,1403.3300667835856,1394.886296970615,1319.3965466253892,729.9796080615029,693.7476229616126,689.3078290868253,684.3071662229701,426.4544699326458,206.12227715819031
Multiboson,4593.859139715373,41.83180711452634,38.68665629649092,38.16506688791979,36.170363586152284,17.710399630109695,16.459699287159165,15.8771583068961,15.656997881183472,10.317035454842635,4.192537459638972
TTX,423.5654849394884,11.565787239643473,10.819961897524626,10.652060266191954,9.710729716852281,2.552054264271252,2.4162427785054503,2.4064945894352503,2.2403460829049857,-0.15709531464169632,0.0067204632877415835
DY-M50,4354.468764761891,69.42188192821742,63.80808546562366,63.19003161467296,60.02155601012265,29.985656867320447,28.289014907863077,28.24356832350555,28.050298149201634,16.49925535376146,4.621039205237236
DY-M4to50,376.9379586129626,6.2241365190232365,6.0202755831081305,6.010307874971388,5.61477319188452,3.210253056938438,3.194657669993288,3.194657669993288,3.1547868374463177,1.6863225868951526,0.49039465423784256
QCD,53319.9892353793,911.1015663264698,550.2995800470381,550.0636552372855,528.5775712762022,207.66576595888029,199.3848513806247,199.3848513806247,188.6976879992269,0.0,0.0
SingleTop,3665.006769733427,47.66783131278928,42.8611217562619,42.763811578814106,40.69833949158436,15.519047278622805,14.500343256324285,13.995423036727598,13.67741214616162,7.173677072729543,1.9631907722717572
Total,319751.23341078317,3557.512260556966,3021.619444329049,3006.2679739382065,2859.1910970552062,1410.749880461759,1337.4098086750917,1326.4407901217362,1306.621406684099,709.7775700154475,333.3898666046292
