,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
Multiboson,0.0006268526924322868,3.5900312011043497e-06,1.8093745353909784e-06,1.6511538755464496e-06,1.576314997620022e-06,1.5447258598838197e-06,1.0197048668471325e-06,2.9239005052616465e-07
DY-M4to50,2.499998984744678e-05,3.046268199592566e-07,1.606751532839019e-07,1.5958056171809783e-07,1.5958056171809783e-07,1.578315558589857e-07,7.64437920422421e-08,1.5797944013218276e-08
SingleTop,0.00022275813076755608,1.7903158924862967e-06,6.671447927515189e-07,6.091990698323611e-07,6.091990698323611e-07,6.044430732587118e-07,3.363494991912098e-07,1.3209088099354614e-07
QCD,2.1631494747903887e-06,1.652369169696987e-08,5.120387001677058e-09,5.120387001677058e-09,5.120387001677058e-09,4.777297842276347e-09,0.0,0.0
TTX,0.0012716539584219908,1.8930163740956385e-05,4.9595881843391345e-06,4.874077151792535e-06,4.847546090000321e-06,4.783964899273271e-06,2.1624838288588037e-08,1.7606205744945322e-06
ZGamma,0.0003138723385512838,2.728852727234555e-06,1.5454408920098874e-06,1.3763161731311217e-06,1.3763161731311217e-06,1.3763161731311217e-06,9.794428468824191e-07,1.9588856672197393e-07
TTbar,0.00041436751619835236,5.766908357487304e-06,2.0429646025372212e-06,1.9085007577034178e-06,1.8784521078228649e-06,1.8673448043021045e-06,1.1651757539087174e-06,4.340205215921217e-07
ZJets,0.002319079561215305,1.3730121663369641e-05,7.981148305904607e-06,7.502959270299923e-06,7.405178064896576e-06,7.339449232262295e-06,5.0063526792800105e-06,1.7195358874089156e-06
DY-M50,0.00037497011388813674,3.796087065295092e-06,1.9191062644539997e-06,1.8247484241750694e-06,1.823780524761218e-06,1.8146457508625255e-06,1.1634676128941248e-06,4.7628492332502813e-07
WJets,0.0009684308837871612,4.883171397718203e-06,2.6439176236466824e-06,2.5159032317980836e-06,2.497045569128024e-06,2.4736790181038696e-06,1.5516518426301435e-06,5.143634613278679e-07
Total,1.3804588166409557e-05,8.7695240031427e-08,4.1389292199544116e-08,3.940115614341045e-08,3.905996515579901e-08,3.8423544288590876e-08,2.149648118804163e-08,7.328518397373246e-09
